nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
AULIA PRIMA PERKASA,02320102020620006,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,339.0
AYASKARA ALAM NUSANTARA,4032200274190008,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. MUNA,2023,464.2
AZ ZAHRA,91200171212360006,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU,2024,55.2
BAHOEA ALAM JAYA,14032200402940008,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2023,38.56
BAHTERA BERKAH ABADI GRUP,81200101307550004,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,9.5
BAKTI BUMI SULAWESI,6/1/IUP/PMA/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2023,4888.0
BALQIS REZA REVOLO,91201110737090009,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,30.0
BANGGAI KENCANA PERMAI,942/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,7878.0
BANGGAI MANDIRI PRATAMA,941/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,2267.0
BANGSA DAMAI,91201091411630002,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Selatan,KAB. TORAJA UTARA,2023,22.54
BANUA INANTA CEMERLANG,02660009516510003,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,43.0
BARA MITRA ANDALAN SEJAHTRA,02022200416140004,Perusahaan Perseroan Terbatas (PT),Batuan,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,16.88
BAROKAH SEJAHTERA WATUSAMPU,22032300267260004,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,10.3
BAROKAH WATUSAMPU,31102200775840004,Perusahaan Komanditer (CV),Andesit,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,7.05
BARU TERBIT,91200110000750002,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,13.98
BATARA ABADI PERKASA,91200180131140009,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,21.96
BATU ALAM PRIMA,04042200034950002,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,22.02
BATU ALAM SUMBER SEJAHTERA,91200027117180012,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,25.0
BATU AMPANA SEJAHTERA,29112200731730003,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOJO UNA-UNA,2023,153.8
BATUAN UNGGUL PERKASA,04032200292340005,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2024,1136.63
BATU HITAM JASA PERTAMBANGAN,15122100473140014,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,43.21
BATUJAYA BERSAMA SEJAHTERA,91204101627010009,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,86.0
BATULICIN BARAMEGA,11112200521220004,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,43.15
BATU SIKUKU,17122100272570003,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU,2023,8.16
BATU TAMBANG SAMBALAGI,03012200284540009,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,193.16
BEDDU COTTANG BACO,01042300222090002,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE,2024,80.4
BENJALA BUMI BERKAH,14062301050540002,Perusahaan Komanditer (CV),Tanah Urug,EKSPLORASI,Sulawesi Selatan,KAB. BULUKUMBA,2023,12.42
BENTENG GUNUNG MAS,27042300662110004,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2024,15.75
BERKAH BATU BANAWA,91203180715050006,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,20.0
BERKAH DAYA MANDIRI,02020100912560008,Perusahaan Perseroan Terbatas (PT),Batuan,OPERASI PRODUKSI,Gorontalo,KAB. GORONTALO UTARA,2023,173.0
BERKAH TARULI JAYA,36/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE,2023,1130.0
BERKAH UTAMA MOROWALI,21022200562760010,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,19.77
BERKAT ABADI KORINDO,91200064517250003,Perusahaan Perseroan Terbatas (PT),Emas,EKSPLORASI,Sulawesi Utara,KAB. BOLAANG MONGONDOW,2024,162.3
BHUMI KARYA UTAMA,559/DPM-PTSP/VI/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,310.0
BHUMI MINERAL PRATAMA,27102200859040002,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. BUTON,2024,4837.8
BINA DAYA LAHAN PERTIWI,540/564/DIESDM-GIST/2015,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BUOL,2015,3836.0
BINA MITRA TOPOYO,24082100282410006,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU TENGAH,2024,2.5
BINEKA KARYA,262/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,970.0
BINTANG CEMERLANG MINERAL MORUT,03112200960230008,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,97.8
BINTANG DELAPAN RESOURCES,91201150339130001,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,0.0
BINTANG ENERGI MINERAL,427/DPMPTSP/VII/2020,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2020,1031.1
BINTANG MANUNGGAL PERSADA,02200041617180001,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,17.17
BINTANG MINING UTAMA,21102200041850011,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,97.83
BINTANG MOROSI SEJAHTRA,91202102116130014,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,33.2
BINTANG PRATAMA PERKASA MANDIRI,29122100177090003,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2024,5.0
BINTANG ROHI,12460003227590001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. MUNA,2022,151.89
BINTANG SINAR PERKASA,28/1/IUP/PMA/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2017,1867.7
BINTANG UTAMA MANYAMPA,12022200189150009,Perusahaan Komanditer (CV),Tanah Urug,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BULUKUMBA,2024,38.12
BIOMAS INTERNASIONAL,91200049329090001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,180.0
BITUMEN ALAM INDONESIA,746A TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2014,1751.0
BOBBY CHANDRA GLOBAL INDONESIA,1064/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,199.5
BOLA DUNIA MANDIRI,457/DPM-PTSP/V/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2017,260.0
BOLMONG TIMUR PRIMANUSA RESOURCES,503/DPMPTSP/IUP-OP/227/XI/2020,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Utara,KAB. BOLAANG MONGONDOW TIMUR,2020,7889.0
BONEHAU PRIMA COAL,1094/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Batubara,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU,2022,98.0
BRAVO MAHESA ARKATAMA,02200035616920010,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,82.0
BUANA SULAWESI PARAMITA,12870002314160007,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,12.85
BUKIT BUNEA,81200029516460008,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2023,50.0
BUKIT BUNEA,81200029516460012,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,48.8
BUKIT INDAH NIRWANA,20012300490530002,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,190.0
BUKIT MAKMUR PERDANA,91201038300610007,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,50.0
BULAWAN DAYA LESTARI,503/DPMPTSP/IUP-OP/241/X/2020,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Utara,KAB. BOLAANG MONGONDOW,2019,99.84
BULU TAMMANGURA,09122200383310003,Perusahaan Komanditer (CV),Andesit,OPERASI PRODUKSI,Sulawesi Selatan,KAB. MAROS,2021,11.96
BULU TAMMANGURA,09122200383310001,Perusahaan Komanditer (CV),Tanah Urug,OPERASI PRODUKSI,Sulawesi Selatan,KAB. MAROS,2021,17.03
BUMI ALPHA MANDIRI,14062300925090010,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. SIGI,2024,95.54
BUMI BINTANG SILIKA,23032200154060007,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,305.4
BUMI GEMILANG PERDANA,1128/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,198.0
BUMI INDAH SULTRA,540/186/IUP-OP-PENCIUTAN/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,8034.0
BUMI KONAWE MINERINA,29/1/IUP/PMA/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,616.0
BUMI MAKMUR GEMILANG,540/498/IUP-OP/PGH/DPMPTSP/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2017,3447.0
BUMINDO INTI CEMERLANG,744 A TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2014,400.0
BUMI NIAGA MANDIRI,12270054122250008,Perusahaan Perseroan Terbatas (PT),Pasir,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,5.0
BUMI NICKEL MOROWALI,22082200447190009,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,7.9
BUMI NUSANTARA RESEARCES,27102100181290001,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,0.0
BUMI PERSADA SURYA PRATAMA,859/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,6080.0
BUMI PERSADA SURYA PRATAMA,667/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2021,1861.0
BUMI ROUTA MINING,540.3/SK.002/DESDM/IX/2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2014,5690.0
BUMI SENTOSA JAYA,731/DPMPTSP/XII/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,1030.0
BUMI TIRE PERSADA,10022300679420002,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BULUKUMBA,2024,40.91
BUNGA TAMBANG NUSANTARA,274/BKPMD-PTSP/VI/2016,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2016,2000.0
CADAS INDUSTRI AZELIA MEKAR,05062300448660002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAJENE,2024,31.63
CAHAYA ALAM MAKMUR,20082100046070004,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,42.71
CAHAYA ALAM NUSANTARA,12810002102340004,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2021,7.0
CAHAYA CEMERLANG,91201081725410013,Perusahaan Komanditer (CV),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,38.41
CAHAYA KARYA PERSADA,273/BKPMD-PTSP/VI/2016,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2016,580.0
CAHAYA MAULANA,07102100054480017,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PINRANG,2024,7.29
CAHAYA MINERAL INDUSTRI,28112200644180003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,26.0
CAHAYA MINERAL SEJAHTERA,05102100288720004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,41.8
CAHAYA MURNI SEJAHTERA,540/622/IUP-OP/P/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,5428.0
CAHAYA RIZQI PERDANA,07082301395540011,Perusahaan Komanditer (CV),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,48.32
CAHAYA SAGA UTAMA,02200072021090004,Perusahaan Perseroan Terbatas (PT),Tras,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BARRU,2024,9.5
CAHAYA TIGA SAHABAT,02203061812570002,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAJENE,2024,45.0
CALMONA PRIMA JAYA,21022200116120003,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,193.72
CALMONA PRIMA JAYA,21022200116120003,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,193.72
CATUR BINTANG SEJAHTERA,10112204932130005,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2024,199.11
CELEBES ANUGERAH MULIA,09032301041330027,Perusahaan Perseroan Terbatas (PT),Andesit,EKSPLORASI,Sulawesi Tengah,KOTA PALU,2023,12.0
CELEBES BANGUN JAYA,109/I.03/PTSP/2018,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2018,44.53
CELEBES LINOTA,91200140924920003,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,48.03
CELEBES MARMERINDO,91200067303320008,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,16.2
CETARA BANGUN PERSADA,1163/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2021,199.0
CETARA KARYA PERKASA,01032300525050012,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2023,99.43
C-GONG PERKASA,51/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2023,3029.0
CHRISTINA EXPLO MINING,1/I.03g/PTSP/2019,Perusahaan Perseroan Terbatas (PT),Galena,OPERASI PRODUKSI,Sulawesi Selatan,KAB. TANA TORAJA,2019,3200.0
CINTA JAYA,359/DPM-PTSP/III/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,309.0
CIPTA BETON SINAR PERKASA,02201027309360004,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Selatan,KAB. GOWA,2022,6.47
CIPTA DJAYA SELARAS MINING,562/BKPMD-PTSP/XI/2016,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2016,634.8
CIPTA HUTAMA MARANTI,1027/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,150.28
CITATAH TBK,81202038809790001,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2023,15.0
CITRA ANGGUN BARATAMA,1127/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,6080.0
CITRA LAMPIA MANDIRI,2/I.03h/PTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU TIMUR,2018,2660.0
CITRA METROJAYA PUTRA,767/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2022,49.9
CITRA PALU MINERALS,422.K/30/DJB/2017,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Tengah,"KAB. DONGGALA, KAB. TOLI TOLI, KAB. PARIGI MOUTONG, KAB. SIGI, KOTA PALU, KAB. LUWU UTARA",2017,85180.0
COCOMAN,540/691/DISESDM-G.ST/2016,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2016,190.0
CORE MINERAL RESOURCES,540/585/IUP-OP/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2020,2030.0
DAKSA PETRA MINERAL,23052200555170008,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,72.17
DAMPALA SEJAHTERA BERSAMA,12150004206640018,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,12.55
DAVINDO JAYAMANDIRI PALU,15092200625660009,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2024,16.18
DAYACAYO ASRITAMA,91202011231060003,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2022,35.0
DELAPAN INTI POWER,28/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,4941.0
DENMAR JAYA MANDIRI,12540014224460008,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,73.53
DHEA HARUM PERKASA,1178/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2021,21.6
DIAMOND ALFA PROPERTINDO,91200047317720001,Perusahaan Perseroan Terbatas (PT),Kalsit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON TENGAH,2023,4331.95
DIEGO PUTRA KONSTRUKSI,08052401033580001,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Selatan,KAB. TAKALAR,2024,30.64
DUA SAUDARA NIKELINDO,33/1/iup/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,1535.0
DUTA SARANA MINERAL,01082300816630001,Perusahaan Perseroan Terbatas (PT),Tanah Urug,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,16.13
DWI PERMATA KUARRY,81201182817990004,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOLI TOLI,2024,102.7
EMPROS DHARMA JAYA,91201084925920001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2024,92.0
ENERGI PRIMA SENTOSA,1147/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2022,3638.0
ERA MARPADOT,07/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Selatan,"KAB. LUWU TIMUR, KAB. KOLAKA UTARA",2024,4301.5
ESWE SURYA MEDIKA,12910003123280015,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2024,72.2
EVI ANDRIANI SYAM,19102100268640002,Perusahaan Perseroan Terbatas (PT),Peridotit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2024,23.83
FADLAN MULIA JAYA,1303/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2021,199.0
FARDAN TOLAKINDO PERKASA,28062200800160002,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,131.49
FAUZAN,91202042024820003,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2024,8.0
FAZDA PERTAMBANGAN BEBATUAN,91203007310580006,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,33.0
FINARA RAMA MOROWALI,26102200016850003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,80.0
GARASI SEMBILAN TUJUH,11052300229790009,Perusahaan Komanditer (CV),Tanah Urug,OPERASI PRODUKSI,Sulawesi Selatan,KAB. SINJAI,2023,5.82
GARUDA PERKASA NUSANTARA,745.A TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2014,1871.0
GASING SULAWESI,890/DPM-PTSP/XI/2018,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2018,103.46
GEMA RIPAH PRATAMA,979/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,145.0
GEMILANG BANGUN PERKASA,540/499/IUP-OP/PGH/DPMPTSP/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2017,4398.0
GEMILANG BATU KOLO,1365/1/IUP/PMDN2021,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,98.6
