No,Provinsi,Penduduk,Malaria,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk
,,,,Mikroskopis,Rapid Diagnostic Test (RDT),Total,,L,P,L+P,,,
(1),(2),(3),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.459.891,29.545,21.161,7.923,29.084,"98,4",213,26,239,239,"1,00","100,0"
2,Sumatera Utara,14.703.532,21.080,6.609,12.171,18.780,"89,1",608,390,998,997,"1,00","99,9"
3,Sumatera Barat,5.498.751,8.978,3.976,4.645,8.621,"96,0",58,35,93,94,"1,01","101,1"
4,Riau,7.128.305,8.119,5.030,3.035,8.065,"99,3",1.051,689,1.740,1.740,"1,00","100,0"
5,Jambi,3.677.894,30.213,14.859,14.214,29.073,"96,2",46,22,68,68,"1,00","100,0"
6,Sumatera Selatan,8.567.923,19.354,8.737,10.389,19.126,"98,8",42,27,69,69,"1,00","100,0"
7,Bengkulu,2.019.848,13.265,8.456,4.580,13.036,"98,3",49,56,105,105,"1,00","100,0"
8,Lampung,8.521.201,30.088,11.902,17.960,29.862,"99,2",251,173,424,424,"1,00","100,0"
9,Kepulauan Bangka Belitung,1.517.590,29.185,19.352,7.703,27.055,"92,7",141,46,187,186,"0,99","99,5"
10,Kepulauan Riau,2.242.198,7.857,6.753,562,7.315,"93,1",112,86,198,192,"0,97","97,0"
11,DKI Jakarta,10.644.986,59,58,1,59,"100,0",54,4,58,56,"0,97","96,6"
12,Jawa Barat,49.935.858,18.198,16.512,1.152,17.664,"97,1",303,16,319,309,"0,97","96,9"
13,Jawa Tengah,34.940.078,31.132,27.500,1.697,29.197,"93,8",253,12,265,230,"0,87","86,8"
14,DI Yogyakarta,3.882.288,13.018,10.693,55,10.748,"82,6",6,0,6,3,"0,50","50,0"
15,Jawa Timur,39.872.395,7.245,6.367,166,6.533,"90,2",276,19,295,278,"0,94","94,2"
16,Banten,13.160.496,1.029,414,357,771,"74,9",6,0,6,6,"1,00","100,0"
17,Bali,4.380.824,6.186,6.084,18,6.102,"98,6",13,4,17,12,"0,71","70,6"
18,Nusa Tenggara Barat,5.125.622,105.539,81.983,12.010,93.993,"89,1",173,74,247,219,"0,89","88,7"
19,Nusa Tenggara Timur,5.541.394,403.142,343.547,54.685,398.232,"98,8",8.593,6.711,15.304,14.371,"0,94","93,9"
20,Kalimantan Barat,5.134.760,39.283,14.482,18.835,33.317,"84,8",48,16,64,54,"0,84","84,4"
21,Kalimantan Tengah,2.769.156,14.916,5.514,7.705,13.219,"88,6",137,25,162,154,"0,95","95,1"
22,Kalimantan Selatan,4.303.979,24.378,7.772,14.981,22.753,"93,3",484,33,517,508,"0,98","98,3"
23,Kalimantan Timur,3.793.152,12.021,6.844,4.104,10.948,"91,1",2.226,139,2.365,1.943,"0,82","82,2"
24,Kalimantan Utara,768.505,2.093,564,1.435,1.999,"95,5",65,2,67,65,"0,97","97,0"
25,Sulawesi Utara,2.528.794,16.499,8.803,4.501,13.304,"80,6",621,279,900,733,"0,81","81,4"
26,Sulawesi Tengah,3.096.976,41.302,11.206,25.971,37.177,"90,0",132,67,199,176,"0,88","88,4"
27,Sulawesi Selatan,8.928.004,15.051,8.657,6.092,14.749,"98,0",641,124,765,699,"0,91","91,4"
28,Sulawesi Tenggara,3.014.333,15.794,5.738,9.948,15.686,"99,3",307,108,415,407,"0,98","98,1"
29,Gorontalo,1.219.576,11.210,5.289,5.921,11.210,"100,0",35,1,36,36,"1,00","100,0"
30,Sulawesi Barat,1.405.012,15.681,5.305,10.232,15.537,"99,1",137,6,143,143,"1,00","100,0"
31,Maluku,1.831.880,50.859,35.449,13.642,49.091,"96,5",455,311,766,672,"0,88","87,7"
32,Maluku Utara,1.278.764,29.304,20.385,8.918,29.303,"100,0",127,75,202,202,"1,00","100,0"
33,Papua Barat,981.822,120.764,80.186,40.354,120.540,"99,8",6.279,3.691,9.970,9.823,"0,99","98,5"
34,Papua,3.435.430,685.382,530.528,147.552,678.080,"98,9",122.724,94.117,216.841,205.968,"0,95","95,0"
Indonesia,,271.311.217,1.877.769,1.346.715,473.514,1.820.229,"96,9",146.666,107.384,254.050,241.181,"0,95","94,9"
