No,Provinsi,Penduduk,Malaria,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk
,,,,Mikroskopis,Rapid Diagnostic Test (RDT),Total,,L,P,L+P,,,
(1),(2),(3),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.459.114,24.622,18.860,5.035,23.895,"97,0",313,11,324,324,"100,0","0,06"
2,Sumatera Utara,14.954.028,20.770,10.735,8.143,18.878,"90,9",1.568,963,2.531,2.504,"98,9","0,17"
3,Sumatera Barat,5.610.859,11.980,3.119,7.176,10.295,"85,9",45,27,72,72,"100,0","0,01"
4,Riau,7.066.464,4.184,416,3.655,4.071,"97,3",552,345,897,897,"100,0","0,13"
5,Jambi,3.641.279,30.516,12.514,15.372,27.886,"91,4",30,9,39,39,"100,0","0,01"
6,Sumatera Selatan,8.702.628,17.684,9.898,7.393,17.291,"97,8",24,1,25,25,"100,0","0,00"
7,Bengkulu,2.016.437,8.501,4.415,3.735,8.150,"95,9",1,1,2,2,"100,0","0,00"
8,Lampung,8.609.884,29.404,15.779,12.690,28.469,"96,8",343,214,557,557,"100,0","0,06"
9,Kepulauan Bangka Belitung,1.488.245,14.632,9.929,3.266,13.195,"90,2",76,28,104,101,"97,1","0,07"
10,Kepulauan Riau,2.378.795,3.061,929,2.132,3.061,"100,0",24,15,39,38,"97,4","0,02"
11,DKI Jakarta,10.645.542,315,114,193,307,"97,5",103,12,115,114,"99,1","0,01"
12,Jawa Barat,50.103.251,16.513,10.514,3.244,13.758,"83,3",237,10,247,245,"99,2","0,00"
13,Jawa Tengah,34.917.040,30.313,28.809,880,29.689,"97,9",510,295,805,805,"100,0","0,02"
14,DI Yogyakarta,3.970.220,14.275,13.752,126,13.878,"97,2",18,7,25,24,"96,0","0,01"
15,Jawa Timur,40.156.672,8.444,7.022,1.267,8.289,"98,2",199,13,212,212,"100,0","0,01"
16,Banten,13.074.189,1.547,135,1.128,1.263,"81,6",20,3,23,15,"65,2","0,00"
17,Bali,4.466.595,6.013,5.857,58,5.915,"98,4",24,9,33,24,"72,7","0,01"
18,Nusa Tenggara Barat,5.298.471,98.182,71.216,11.097,82.313,"83,8",297,70,367,359,"97,8","0,07"
19,Nusa Tenggara Timur,5.588.744,514.658,338.901,163.897,502.798,"97,7",5.270,4.149,9.419,9.397,"99,8","1,69"
20,Kalimantan Barat,5.162.937,36.533,23.024,9.796,32.820,"89,8",14,3,17,13,"76,5","0,00"
21,Kalimantan Tengah,2.722.168,11.451,5.936,5.441,11.377,"99,4",148,23,171,167,"97,7","0,06"
22,Kalimantan Selatan,4.319.794,19.327,13.116,4.808,17.924,"92,7",268,27,295,293,"99,3","0,07"
23,Kalimantan Timur,3.708.936,14.354,8.074,5.982,14.056,"97,9",2.069,180,2.249,2.038,"90,6","0,61"
24,Kalimantan Utara,721.181,2.213,375,1.403,1.778,"80,3",31,2,33,18,"54,5","0,05"
25,Sulawesi Utara,2.530.967,14.552,7.406,4.463,11.869,"81,6",483,230,713,682,"95,7","0,28"
26,Sulawesi Tengah,3.120.863,19.527,5.837,12.089,17.926,"91,8",43,13,56,54,"96,4","0,02"
27,Sulawesi Selatan,8.956.181,17.728,8.490,8.546,17.036,"96,1",756,180,936,914,"97,6","0,10"
28,Sulawesi Tenggara,2.743.155,16.405,7.535,8.506,16.041,"97,8",284,67,351,349,"99,4","0,13"
29,Gorontalo,1.195.883,17.009,6.025,10.505,16.530,"97,2",47,2,49,49,"100,0","0,04"
30,Sulawesi Barat,1.396.749,13.373,5.786,7.129,12.915,"96,6",90,3,93,93,"100,0","0,07"
31,Maluku,1.805.376,57.268,38.666,15.047,53.713,"93,8",483,326,809,793,"98,0","0,45"
32,Maluku Utara,1.268.866,20.968,12.419,6.762,19.181,"91,5",88,40,128,128,"100,0","0,10"
33,Papua Barat,1.008.698,139.623,78.827,47.836,126.663,"90,7",4.541,3.087,7.628,7.582,"99,4","7,56"
34,Papua,3.438.243,872.826,615.253,241.809,857.062,"98,2",153.231,122.012,275.243,270.221,"98,2","80,05"
Indonesia,,272.248.454,2.128.771,1.399.683,640.609,2.040.292,"95,8",172.230,132.377,304.607,299.148,"98,2","1,12"
