No,Provinsi,Penduduk,,,Klasifikasi,,,Jenis Kelamin,,Jumlah Kasus Baru*,Case Detection Rate per 100.000 Penduduk
,,Laki-laki,Perempuan,Laki-laki + Perempuan,PB*,MB*,Proporsi MB,Laki-laki*,Perempuan*,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
1,Aceh,2.592.140,2.597.326,5.189.466,100,224,"69,14",188,136,324,"6,24"
2,Sumatera Utara,7.116.896,7.145.251,14.262.147,28,130,"82,28",97,61,158,"1,11"
3,Sumatera Barat,2.649.599,2.671.890,5.321.489,5,48,"90,57",27,26,53,"1,00"
4,Riau,3.416.307,3.241.604,6.657.911,14,122,"89,71",93,43,136,"2,04"
5,Jambi,1.793.389,1.721.628,3.515.017,7,53,"88,33",34,26,60,"1,71"
6,Sumatera Selatan,4.200.735,4.066.248,8.266.983,28,253,"90,04",186,95,281,"3,40"
7,Bengkulu,986.091,948.178,1.934.269,2,24,"92,31",17,9,26,"1,34"
8,Lampung,4.247.121,4.042.456,8.289.577,5,159,"96,95",90,74,164,"1,98"
9,Kepulauan Bangka Belitung,743.931,686.934,1.430.865,8,41,"83,67",28,21,49,"3,42"
10,Kepulauan Riau,1.062.692,1.020.002,2.082.694,2,28,"93,33",12,18,30,"1,44"
11,DKI Jakarta,5.202.815,5.171.420,10.374.235,25,275,"91,67",205,95,300,"2,89"
12,Jawa Barat,24.335.331,23.702.496,48.037.827,190,1.623,"89,52",1154,659,1.813,"3,77"
13,Jawa Tengah,16.988.093,17.269.772,34.257.865,153,1.491,"90,69",1103,541,1.644,"4,80"
14,DI Yogyakarta,1.860.869,1.901.298,3.762.167,17,77,"81,91",64,30,94,"2,50"
15,Jawa Timur,19.397.878,19.895.094,39.292.972,356,3.017,"89,45",2033,1.340,3.373,"8,58"
16,Banten,6.344.428,6.103.732,12.448.160,100,842,"89,38",597,345,942,"7,57"
17,Bali,2.138.451,2.108.077,4.246.528,2,68,"97,14",51,19,70,"1,65"
18,Nusa Tenggara Barat,2.405.080,2.550.498,4.955.578,27,194,"87,78",135,86,221,"4,46"
19,Nusa Tenggara Timur,2.619.181,2.668.121,5.287.302,45,360,"88,89",266,139,405,"7,66"
20,Kalimantan Barat,2.510.687,2.421.812,4.932.499,10,51,"83,61",42,19,61,"1,24"
21,Kalimantan Tengah,1.361.715,1.243.559,2.605.274,7,31,"81,58",28,10,38,"1,46"
22,Kalimantan Selatan,2.089.422,2.030.372,4.119.794,4,94,"95,92",73,25,98,"2,38"
23,Kalimantan Timur,1.874.805,1.700.644,3.575.449,25,128,"83,66",87,66,153,"4,28"
24,Kalimantan Utara,366.677,324.381,691.058,15,37,"71,15",27,25,52,"7,52"
25,Sulawesi Utara,1.255.671,1.205.357,2.461.028,48,406,"89,43",277,177,454,"18,45"
26,Sulawesi Tengah,1.514.457,1.451.868,2.966.325,35,307,"89,77",211,131,342,"11,53"
27,Sulawesi Selatan,4.246.101,4.444.193,8.690.294,150,941,"86,25",653,438,1.091,"12,55"
28,Sulawesi Tenggara,1.308.543,1.293.846,2.602.389,43,294,"87,24",208,129,337,"12,95"
29,Gorontalo,585.210,582.980,1.168.190,22,192,"89,72",128,86,214,"18,32"
30,Sulawesi Barat,667.858,663.103,1.330.961,36,159,"81,54",120,75,195,"14,65"
31,Maluku,879.701,864.953,1.744.654,82,336,"80,38",272,146,418,"23,96"
32,Maluku Utara,616.858,592.484,1.209.342,105,453,"81,18",342,216,558,"46,14"
33,Papua Barat,481.939,433.422,915.361,276,512,"64,97",474,314,788,"86,09"
34,Papua,1.718.513,1.546.689,3.265.202,237,731,"75,52",540,428,968,"29,65"
Indonesia,,131.579.184,130.311.688,261.890.872,2.209,13.701,"86,12",9.862,6.048,15.910,"6,08"
