No,Provinsi,Jumlah Target Penemuan,,Diare,,,,,,,,,
,,,,Dilayani,,,,Mendapat Oralit,,,,Mendapat Zinc,
,,,,Semua Umur,,Balita,,Semua Umur,,Balita,,Balita,
,,Semua Umur,Balita,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,147.396,85.710,29.866,"20,3",9.591,"11,2",21.432,"71,8",7.298,"76,1",6.721,"70,1"
2,Sumatera Utara,403.759,227.995,26.945,"6,7",7.416,"3,3",21.662,"80,4",5.634,"76,0",5.201,"70,1"
3,Sumatera Barat,151.493,86.806,57.203,"37,8",15.315,"17,6",56.664,"99,1",14.184,"92,6",14.731,"96,2"
4,Riau,190.795,107.944,41.163,"21,6",13.134,"12,2",38.020,"92,4",11.852,"90,2",12.340,"94,0"
5,Jambi,98.315,51.101,38.704,"39,4",11.153,"21,8",36.319,"93,8",10.913,"97,8",10.416,"93,4"
6,Sumatera Selatan,234.971,134.139,94.538,"40,2",30.862,"23,0",89.808,"95,0",30.107,"97,6",29.617,"96,0"
7,Bengkulu,54.444,28.322,15.832,"29,1",5.558,"19,6",15.832,"100,0",5.545,"99,8",5.558,"100,0"
8,Lampung,232.467,118.625,49.194,"21,2",14.162,"11,9",47.353,"96,3",13.112,"92,6",13.331,"94,1"
9,Kep. Bangka Belitung,40.183,20.930,10.334,"25,7",4.079,"19,5",10.334,"100,0",4.079,"100,0",4.079,"100,0"
10,Kepulauan Riau,64.227,37.482,16.432,"25,6",3.932,"10,5",16.432,"100,0",3.932,"100,0",3.932,"100,0"
11,DKI Jakarta,287.430,142.936,122.914,"42,8",38.818,"27,2",118.313,"96,3",37.519,"96,7",37.277,"96,0"
12,Jawa Barat,1.352.788,666.244,430.520,"31,8",162.745,"24,4",385.987,"89,7",144.853,"89,0",141.688,"87,1"
13,Jawa Tengah,942.760,411.937,297.062,"31,5",87.510,"21,2",247.329,"83,3",75.141,"85,9",74.725,"85,4"
14,DI Yogyakarta,107.196,47.029,14.738,"13,7",2.500,"5,3",11.812,"80,1",2.045,"81,8",2.126,"85,0"
15,Jawa Timur,1.084.230,470.968,510.033,"47,0",185.559,"39,4",493.095,"96,7",181.456,"97,8",180.350,"97,2"
16,Banten,353.003,184.583,242.094,"68,6",102.030,"55,3",205.691,"85,0",87.079,"85,3",90.535,"88,7"
17,Bali,120.598,53.479,25.691,"21,3",5.268,"9,9",13.335,"51,9",4.270,"81,1",3.669,"69,7"
18,Nusa Tenggara Barat,143.059,82.596,92.978,"65,0",42.430,"51,4",90.762,"97,6",41.187,"97,1",37.916,"89,4"
19,Nusa Tenggara Timur,150.896,97.432,40.137,"26,6",18.165,"18,6",37.926,"94,5",17.269,"95,1",17.323,"95,4"
20,Kalimantan Barat,139.399,74.380,32.964,"23,6",11.725,"15,8",32.099,"97,4",10.860,"92,6",11.695,"99,7"
21,Kalimantan Tengah,73.499,37.905,18.357,"25,0",6.283,"16,6",18.315,"99,8",6.264,"99,7",6.267,"99,7"
22,Kalimantan Selatan,116.634,62.315,29.466,"25,3",10.822,"17,4",26.347,"89,4",9.863,"91,1",9.915,"91,6"
23,Kalimantan Timur,100.141,50.898,30.308,"30,3",10.915,"21,4",26.214,"86,5",9.800,"89,8",9.930,"91,0"
24,Kalimantan Utara,19.472,10.592,8.465,"43,5",3.454,"32,6",7.195,"85,0",2.967,"85,9",2.459,"71,2"
25,Sulawesi Utara,68.336,32.539,10.687,"15,6",3.708,"11,4",8.786,"82,2",3.176,"85,7",2.658,"71,7"
26,Sulawesi Tengah,84.263,47.205,29.273,"34,7",10.012,"21,2",27.499,"93,9",9.584,"95,7",9.545,"95,3"
27,Sulawesi Selatan,241.817,118.816,67.241,"27,8",21.618,"18,2",48.937,"72,8",16.941,"78,4",16.814,"77,8"
28,Sulawesi Tenggara,74.065,44.664,14.929,"20,2",6.116,"13,7",12.176,"81,6",4.980,"81,4",5.414,"88,5"
29,Gorontalo,32.289,16.235,9.982,"30,9",4.707,"29,0",7.796,"78,1",3.905,"83,0",4.246,"90,2"
30,Sulawesi Barat,37.712,22.327,15.589,"41,3",4.739,"21,2",13.750,"88,2",4.238,"89,4",4.164,"87,9"
31,Maluku,48.745,28.221,16.730,"34,3",8.599,"30,5",14.755,"88,2",8.276,"96,2",8.179,"95,1"
32,Maluku Utara,34.259,19.603,10.878,"31,8",5.607,"28,6",8.839,"81,3",4.547,"81,1",5.096,"90,9"
33,Papua Barat,27.235,16.091,9.250,"34,0",4.862,"30,2",7.983,"86,3",4.339,"89,2",4.396,"90,4"
34,Papua,92.833,52.935,12.584,"13,6",6.202,"11,7",9.703,"77,1",5.276,"85,1",5.183,"83,6"
Indonesia,,7.350.708,3.690.984,2.473.081,"33,6",879.596,"23,8",2.228.500,"90,1",802.492,"91,2",797.495,"90,7"
Angka Kesakitan Diare Per 1.000 Penduduk,,,,,,,,,,,,,
