Dokter Spesialis Lain 16.382 Dokter 37% Spesialis Dasar 17.424 39% Dokter Spesialis Dokter Gigi Penunjang Spesialis 7.787 2.892 18% 6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,UNIT UTAMA,,PENCEGAHAN,PELAYANAN,PELATIHAN DAN,,,,,,,,,,,,,,,,,,,,,,,,,
,,KESEHATAN,DAN,,,DUKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KESEHATAN DAN,PENDIDIKAN,,JUMLAH,,,,,,,,,,,,,,,,,,,,,,,
,,MASYARAKAT,PENGENDALIAN,,,MANAJEMEN,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JKN,VOKASI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PENYAKIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,,,,,,,,,,,,,,
(1),(2),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,
1,Aceh,2,"2,7%",1.236,12,"16,4%",3.145,32,"43,8%",4.288,27,"37,0%",1.567,0,"0,0%",0,,,,,,,,,,,,,,
2,Sumatera Utara,2,"0,9%",1.266,27,"12,8%",6.590,120,"56,9%",13.897,59,"28,0%",2.922,3,"1,4%",57,,,,,,,,,,,,,,
3,Sumatera Barat,3,"3,7%",1.210,5,"6,2%",866,52,"64,2%",4.959,17,"21,0%",1.046,4,"4,9%",19,,,,,,,,,,,,,,
4,Riau,1,"1,3%",513,6,"7,9%",1.963,43,"56,6%",4.928,26,"34,2%",1.677,0,"0,0%",0,,,,,,,,,,,,,,
5,Jambi,0,"0,0%",0,4,"10,0%",1.117,24,"60,0%",3.104,12,"30,0%",671,0,"0,0%",0,,,,,,,,,,,,,,
6,Sumatera Selatan,2,"2,4%",1.042,7,"8,2%",1.726,51,"60,0%",5.888,25,"29,4%",1.688,0,"0,0%",0,,,,,,,,,,,,,,
7,Bengkulu,0,"0,0%",0,2,"8,0%",459,14,"56,0%",1.598,9,"36,0%",584,0,"0,0%",0,,,,,,,,,,,,,,
8,Lampung,1,"1,2%",691,5,"6,1%",1.373,54,"65,9%",5.630,22,"26,8%",1.371,0,"0,0%",0,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,0,"0,0%",0,2,"7,4%",404,16,"59,3%",1.961,9,"33,3%",380,0,"0,0%",0,,,,,,,,,,,,,,
10,Kepulauan Riau,0,"0,0%",0,7,"20,0%",1.797,18,"51,4%",2.028,10,"28,6%",488,0,"0,0%",0,,,,,,,,,,,,,,
11,DKI Jakarta,18,"9,2%",6.246,64,"32,8%",12.757,86,"44,1%",6.839,25,"12,8%",1.459,2,"1,0%",201,,,,,,,,,,,,,,
12,Jawa Barat,9,"2,3%",3.240,74,"18,5%",19.377,240,"60,2%",28.697,75,"18,8%",4.866,1,"0,3%",52,,,,,,,,,,,,,,
13,Jawa Tengah,10,"3,0%",4.405,35,"10,5%",10.852,156,"46,7%",20.863,132,"39,5%",9.702,1,"0,3%",119,,,,,,,,,,,,,,
14,DI Yogyakarta,2,"2,5%",969,14,"17,5%",3.135,28,"35,0%",1.950,36,"45,0%",1.892,0,"0,0%",0,,,,,,,,,,,,,,
15,Jawa Timur,5,"1,2%",4.146,63,"15,4%",16.413,199,"48,5%",20.971,140,"34,1%",9.777,3,"0,7%",84,,,,,,,,,,,,,,
16,Banten,0,"0,0%",0,20,"15,9%",4.948,89,"70,6%",8.685,16,"12,7%",939,1,"0,8%",203,,,,,,,,,,,,,,
17,Bali,3,"4,1%",1.156,12,"16,2%",2.434,46,"62,2%",4.960,13,"17,6%",690,0,"0,0%",0,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,0,"0,0%",0,5,"11,9%",1.536,21,"50,0%",2.900,16,"38,1%",1.203,0,"0,0%",0,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,0,"0,0%",0,3,"5,3%",547,30,"52,6%",3.893,23,"40,4%",1.392,1,"1,8%",30,,,,,,,,,,,,,,
20,Kalimantan Barat,1,"1,9%",329,3,"5,7%",1.222,31,"58,5%",3.922,18,"34,0%",938,0,"0,0%",0,,,,,,,,,,,,,,
21,Kalimantan Tengah,0,"0,0%",0,4,"12,9%",1.117,18,"58,1%",2.520,8,"25,8%",305,1,"3,2%",88,,,,,,,,,,,,,,
22,Kalimantan Selatan,2,"3,8%",1.169,6,"11,3%",1.028,29,"54,7%",3.640,16,"30,2%",699,0,"0,0%",0,,,,,,,,,,,,,,
23,Kalimantan Timur,3,"5,1%",1.346,5,"8,5%",1.258,30,"50,8%",2.989,21,"35,6%",1.189,0,"0,0%",0,,,,,,,,,,,,,,
24,Kalimantan Utara,0,"0,0%",0,1,"7,7%",304,5,"38,5%",800,7,"53,8%",229,0,"0,0%",0,,,,,,,,,,,,,,
25,Sulawesi Utara,1,"1,8%",844,4,"7,3%",1.261,35,"63,6%",4.069,15,"27,3%",1.107,0,"0,0%",0,,,,,,,,,,,,,,
26,Sulawesi Tengah,0,"0,0%",0,4,"10,3%",1.271,23,"59,0%",3.393,12,"30,8%",528,0,"0,0%",0,,,,,,,,,,,,,,
27,Sulawesi Selatan,2,"1,7%",1.818,30,"25,4%",6.008,61,"51,7%",7.477,24,"20,3%",1.293,1,"0,8%",0,,,,,,,,,,,,,,
28,Sulawesi Tenggara,0,"0,0%",0,3,"7,7%",597,16,"41,0%",2.410,18,"46,2%",875,2,"5,1%",0,,,,,,,,,,,,,,
29,Gorontalo,0,"0,0%",0,2,"10,5%",612,8,"42,1%",1.012,9,"47,4%",524,0,"0,0%",0,,,,,,,,,,,,,,
30,Sulawesi Barat,0,"0,0%",0,0,"0,0%",0,8,"57,1%",1.174,4,"28,6%",259,2,"14,3%",34,,,,,,,,,,,,,,
31,Maluku,0,"0,0%",0,4,"13,3%",888,9,"30,0%",1.211,17,"56,7%",978,0,"0,0%",0,,,,,,,,,,,,,,
32,Maluku Utara,0,"0,0%",0,1,"4,5%",325,7,"31,8%",809,12,"54,5%",628,2,"9,1%",49,,,,,,,,,,,,,,
33,Papua Barat,0,"0,0%",0,0,"0,0%",0,8,"32,0%",1.096,15,"60,0%",826,2,"8,0%",54,,,,,,,,,,,,,,
34,Papua,0,"0,0%",0,2,"4,0%",430,15,"30,0%",2.907,30,"60,0%",1.679,3,"6,0%",32,,,,,,,,,,,,,,
Indonesia,,67,"2,2%",31.626,436,"14,2%",107.760,1.622,"52,8%",187.468,918,"29,9%",56.371,29,"0,9%",1.022,,,,,,,,,,,,,,
No,Provinsi,2021,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,
,,Estimasi Jumlah Penduduk 2021,Total,,,Estimasi Jumlah Penduduk 2022,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,RS,TT,,,RS,TT,,,,,,,,,,,,,,,,,,,,,,
,,,,Jumlah,Rasio,,,Jumlah,Rasio,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,,,,,,,,,,,,
1,Aceh,5.459.114,72,10.611,"1,9",5.529.773,73,10.236,"1,9",,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,14.954.028,222,24.358,"1,6",15.107.226,211,24.732,"1,6",,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,5.610.859,80,7.558,"1,3",5.675.357,81,8.100,"1,4",,,,,,,,,,,,,,,,,,,,,
4,Riau,7.066.464,76,8.438,"1,2",7.181.300,76,9.081,"1,3",,,,,,,,,,,,,,,,,,,,,
5,Jambi,3.641.279,41,4.746,"1,3",3.677.678,40,4.892,"1,3",,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,8.702.628,87,9.750,"1,1",8.803.213,85,10.344,"1,2",,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,2.016.437,26,2.844,"1,4",2.038.146,25,2.641,"1,3",,,,,,,,,,,,,,,,,,,,,
8,Lampung,8.609.884,80,8.186,"1,0",8.683.167,82,9.065,"1,0",,,,,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,1.488.245,27,2.427,"1,6",1.506.505,27,2.745,"1,8",,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,2.378.795,36,4.036,"1,7",2.449.422,35,4.313,"1,8",,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,10.645.542,193,25.222,"2,4",10.711.809,195,27.502,"2,6",,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,50.103.251,388,52.298,"1,0",50.639.156,399,56.232,"1,1",,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,34.917.040,324,45.901,"1,3",35.090.378,334,45.941,"1,3",,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,3.970.220,81,7.143,"1,8",4.021.816,80,7.946,"2,0",,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,40.156.672,400,51.100,"1,3",40.348.441,410,51.391,"1,3",,,,,,,,,,,,,,,,,,,,,
16,Banten,13.074.189,123,13.426,"1,0",13.251.533,126,14.775,"1,1",,,,,,,,,,,,,,,,,,,,,
17,Bali,4.466.595,73,8.624,"1,9",4.518.680,74,9.240,"2,0",,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,5.298.471,43,6.046,"1,1",5.370.302,42,5.639,"1,1",,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,5.588.744,56,5.601,"1,0",5.662.948,57,5.862,"1,0",,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,5.162.937,53,6.556,"1,3",5.220.211,53,6.411,"1,2",,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,2.722.168,30,4.002,"1,5",2.757.697,31,4.030,"1,5",,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,4.319.794,52,6.478,"1,5",4.370.444,53,6.536,"1,5",,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,3.708.936,60,6.786,"1,8",3.752.605,59,6.782,"1,8",,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,721.181,12,1.371,"1,9",734.112,13,1.333,"1,8",,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,2.530.967,53,6.833,"2,7",2.548.338,55,7.281,"2,9",,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,3.120.863,40,5.156,"1,7",3.159.749,39,5.192,"1,6",,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,8.956.181,120,16.721,"1,9",9.022.276,118,16.596,"1,8",,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,2.743.155,38,3.692,"1,3",2.782.882,39,3.882,"1,4",,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,1.195.883,17,2.206,"1,8",1.205.341,19,2.148,"1,8",,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,1.396.749,14,1.490,"1,1",1.415.130,14,1.467,"1,0",,,,,,,,,,,,,,,,,,,,,
31,Maluku,1.805.376,33,3.043,"1,7",1.823.518,30,3.077,"1,7",,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,1.268.866,22,1.799,"1,4",1.285.374,22,1.811,"1,4",,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,1.008.698,23,2.090,"2,1",1.031.676,25,1.976,"1,9",,,,,,,,,,,,,,,,,,,,,
34,Papua,3.438.243,47,4.657,"1,4",3.482.891,50,5.048,"1,4",,,,,,,,,,,,,,,,,,,,,
Indonesia,,272.248.454,3.042,371.195,"1,4",274.859.094,"3.072,0",384.247,"1,4",,,,,,,,,,,,,,,,,,,,,
No,Fasilitas Kesehatan,Jumlah RS,Jumlah TT,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Riau,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,1,820,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,1,3771,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,4,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,27,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Banten,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bali,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,2,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,3,629,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,2,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,4,735,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,1,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Papua,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,52,9.315,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumber: Ditjen. Pelayanan Kesehatan, Kemenkes RI, 2023 per 2 Januari 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit,Rumah Sakit Pemerintah Terakreditasi,Rumah Sakit Swasta Terakreditasi,Total Rumah Sakit Terakreditasi,Persentase Rumah Sakit Terakreditasi,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,73,35,32,67,"91,8",,,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,211,56,116,172,"81,5",,,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,82,29,36,65,"79,3",,,,,,,,,,,,,,,,,,,,,,,,
4,Riau,76,23,41,64,"84,2",,,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,40,16,16,32,"80,0",,,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,85,34,31,65,"76,5",,,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,25,15,6,21,"84,0",,,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,83,18,52,70,"84,3",,,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,28,11,11,22,"78,6",,,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,36,14,16,30,"83,3",,,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,196,60,115,175,"89,3",,,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,400,75,265,340,"85,0",,,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,338,78,211,289,"85,5",,,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,81,15,57,72,"88,9",,,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,437,104,253,357,"81,7",,,,,,,,,,,,,,,,,,,,,,,,
16,Banten,126,16,86,102,"81,0",,,,,,,,,,,,,,,,,,,,,,,,
17,Bali,74,21,44,65,"87,8",,,,,,,,,,,,,,,,,,,,,,,,
