No,Provinsi,Jumlah Balita,Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,,Kasus Pneumonia yang mendapatkan antibiotik,Persentase Kasus Pneumonia yang mendapatkan pengobatan sesuai standar
,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%),,
,,,,< 1 Tahun,,1-<5 tahun,,< 1 Tahun,,1-<5 tahun,,L,P,L+P,,< 1 Tahun,,1-<5 tahun,,L,P,L+P,,,
,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
1,Aceh,511.791,23.495,342,256,780,606,14,15,32,35,1.168,912,2.080,"8,85",3,4,0,0,3,4,7,"0,34",1.983,"95,3"
2,Sumatera Utara,1.428.506,42.712,789,700,1.809,1.587,31,26,82,74,2.711,2.387,5.098,"11,94",25,21,2,3,27,24,51,"1,00",4.885,"95,8"
3,Sumatera Barat,566.728,25.982,882,745,2.101,1.643,70,35,45,70,3.098,2.493,5.591,"21,52",3,0,1,1,4,1,5,"0,09",5.371,"96,1"
4,Riau,696.941,18.608,439,395,718,540,17,19,16,9,1.190,963,2.153,"11,57",1,0,0,0,1,0,1,"0,05",2.092,"97,2"
5,Jambi,369.802,11.649,175,158,448,361,14,15,20,16,657,550,1.207,"10,36",0,0,0,0,0,0,0,"0,00",1.142,"94,6"
6,Sumatera Selatan,842.687,30.421,994,986,2.446,2.096,48,21,33,27,3.521,3.130,6.651,"21,86",0,0,0,0,0,0,0,"0,00",6.522,"98,1"
7,Bengkulu,198.889,3.978,100,90,115,88,5,2,13,12,233,192,425,"10,68",10,15,10,8,20,23,43,"17,20",393,"92,5"
8,Lampung,771.466,17.204,889,864,2.105,1.818,60,45,38,40,3.092,2.767,5.859,"34,06",4,0,0,1,4,1,5,"0,16",5.676,"96,9"
9,Kep. Bangka Belitung,143.985,8.711,337,280,1.104,892,13,4,27,19,1.481,1.195,2.676,"30,72",0,1,1,0,1,1,2,"0,13",2.613,"97,6"
10,Kepulauan Riau,248.467,10.192,542,448,881,786,74,52,94,87,1.591,1.373,2.964,"29,08",2,0,0,0,2,0,2,"0,09",2.657,"89,6"
11,DKI Jakarta,1.110.093,47.068,4.636,3.663,8.661,7.751,85,90,103,72,13.485,11.576,25.061,"53,24",0,0,0,0,0,0,0,"0,00",24.711,"98,6"
12,Jawa Barat,4.915.177,227.081,16.177,13.971,34.323,30.142,1.767,1.373,2.300,1.914,54.567,47.400,101.967,"44,90",37,19,30,16,67,35,102,"0,21",94.613,"92,8"
13,Jawa Tengah,2.443.282,88.202,5.088,4.341,14.806,12.885,280,191,393,364,20.567,17.781,38.348,"43,48",24,32,7,17,31,49,80,"0,48",37.120,"96,8"
14,DI Yogyakarta,293.484,12.669,369,186,631,460,9,9,11,15,1.020,670,1.690,"13,34",3,5,1,3,4,8,12,"1,70",1.646,"97,4"
15,Jawa Timur,3.239.804,144.170,11.893,11.479,34.668,32.532,376,240,482,448,47.419,44.699,92.118,"63,90",8,10,5,3,13,13,26,"0,07",90.572,"98,3"
16,Banten,1.236.601,50.948,4.289,4.047,10.306,10.273,192,111,172,150,14.959,14.581,29.540,"57,98",3,0,0,3,3,3,6,"0,04",28.915,"97,9"
17,Bali,390.682,9.906,865,659,1.722,1.170,275,139,264,175,3.126,2.143,5.269,"53,19",2,2,1,2,3,4,7,"0,48",4.416,"83,8"
18,Nusa Tenggara Barat,475.192,30.317,2.771,2.345,4.813,3.855,11,14,33,10,7.628,6.224,13.852,"45,69",6,12,3,1,9,13,22,"0,59",13.784,"99,5"
19,Nusa Tenggara Timur,553.662,23.697,747,583,790,692,98,70,54,57,1.689,1.402,3.091,"13,04",11,0,1,1,12,1,13,"1,60",2.812,"91,0"
20,Kalimantan Barat,538.448,11.417,485,356,668,564,10,8,11,13,1.174,941,2.115,"18,53",9,2,2,3,11,5,16,"1,97",2.073,"98,0"
21,Kalimantan Tengah,269.034,11.759,290,206,408,313,119,77,99,86,916,682,1.598,"13,59",2,1,1,1,3,2,5,"0,84",1.217,"76,2"
22,Kalimantan Selatan,383.628,21.215,1.747,1.278,3.435,2.781,264,209,275,1.477,5.721,5.745,11.466,"54,05",2,3,1,2,3,5,8,"0,20",9.241,"80,6"
23,Kalimantan Timur,355.130,10.132,665,489,1.240,921,24,18,26,9,1.955,1.437,3.392,"33,48",2,1,0,0,2,1,3,"0,26",3.315,"97,7"
24,Kalimantan Utara,69.682,1.995,289,138,524,356,13,3,12,7,838,504,1.342,"67,27",1,1,1,0,2,1,3,"0,96",1.307,"97,4"
25,Sulawesi Utara,275.533,14.937,38,20,66,80,1,0,2,2,107,102,209,"1,40",3,0,0,0,3,0,3,"4,31",204,"97,6"
26,Sulawesi Tengah,303.874,15.771,1.170,913,2.219,1.758,103,37,39,34,3.531,2.742,6.273,"39,78",12,1,2,4,14,5,19,"0,97",6.060,"96,6"
27,Sulawesi Selatan,896.316,33.830,904,669,1.679,1.410,46,40,65,59,2.694,2.178,4.872,"14,40",6,2,1,0,7,2,9,"0,63",4.662,"95,7"
28,Sulawesi Tenggara,302.227,11.606,332,239,483,365,26,18,19,33,860,655,1.515,"13,05",0,1,0,0,0,1,1,"0,23",1.419,"93,7"
29,Gorontalo,117.785,5.980,402,312,677,533,9,5,4,5,1.092,855,1.947,"32,56",0,2,1,0,1,2,3,"0,48",1.924,"98,8"
30,Sulawesi Barat,140.408,6.852,135,84,265,232,9,8,4,7,413,331,744,"10,86",1,0,0,1,1,1,2,"0,89",716,"96,2"
31,Maluku,182.208,6.858,204,135,260,186,6,11,9,6,479,338,817,"11,91",0,0,1,0,1,0,1,"0,49",785,"96,1"
32,Maluku Utara,123.918,2.835,152,120,227,220,11,8,2,1,392,349,741,"26,14",0,0,1,0,1,0,1,"0,53",719,"97,0"
33,Papua Barat,102.066,2.939,228,164,356,299,6,2,2,6,592,471,1.063,"36,16",0,0,1,0,1,0,1,"0,39",1.047,"98,5"
34,Papua,338.056,12.168,618,498,767,715,105,85,133,69,1.623,1.367,2.990,"24,57",0,0,0,0,0,0,0,"0,00",2.598,"86,9"
Indonesia,,24.835.550,997.304,59.983,51.817,136.501,120.910,4.191,3.000,4.914,5.408,205.589,181.135,386.724,"38,78",180,135,74,70,254,205,459,"0,12",369.210,"95,5"
No,Provinsi,K e l o m p o k U m u r ( T a h u n ),,,,,,,,,,,,,,,Jumlah estimasi orang dengan risiko terinfeksi HIV (minimal),Jumlah orang dengan risiko terinfeksi HIV yang mendapatkan pelayanan sesuai standar,Persentase orang dengan risiko terinfeksi HIV mendapatkan pelayanan deteksi dini HIV sesuai standar,,,,,,
,,≤ 4 Tahun,,5 - 14 Tahun,,15 - 19 Tahun,,20 - 24 Tahun,,25 - 49 Tahun,,≥ 50 Tahun,,Total,,,,,,,,,,,
,,L,P,L,P,L,P,L,P,L,P,L,P,L,P,T,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,
1,Aceh,3,0,3,2,9,3,6,44,160,29,0,10,181,88,269,149.342,58.595,"39,2",,,,,,
2,Sumatera Utara,15,6,4,14,93,7,37,474,1.524,407,60,136,1.733,1.044,2.777,447.984,195.326,"43,6",,,,,,
3,Sumatera Barat,2,3,0,0,11,1,6,80,332,57,4,30,355,171,526,154.784,87.965,"56,8",,,,,,
4,Riau,8,7,4,4,30,3,14,105,382,136,17,56,455,311,766,218.518,111.764,"51,1",,,,,,
5,Jambi,0,2,1,2,7,2,3,30,90,31,2,12,103,79,182,86.149,23.531,"27,3",,,,,,
6,Sumatera Selatan,11,2,3,4,17,4,17,144,486,108,9,39,543,301,844,227.493,160.486,"70,5",,,,,,
7,Bengkulu,2,2,0,0,4,0,2,25,100,38,1,5,109,70,179,57.846,28.463,"49,2",,,,,,
8,Lampung,8,1,6,6,17,1,17,94,391,147,8,25,447,274,721,209.571,120.786,"57,6",,,,,,
9,Kep. Bangka Belitung,3,3,2,3,4,3,3,22,137,69,9,21,158,121,279,38.568,38.326,"99,4",,,,,,
10,Kepulauan Riau,5,4,1,3,23,3,22,115,474,184,18,74,543,383,926,69.989,69.981,"100,0",,,,,,
11,DKI Jakarta,12,7,21,24,128,30,511,446,3.350,781,210,224,4.232,1.512,5.744,298.013,439.169,"147,4",,,,,,
12,Jawa Barat,60,49,30,33,265,76,415,1.173,4.354,1.708,177,340,5.301,3.379,8.680,1.248.293,829.625,"66,5",,,,,,
13,Jawa Tengah,44,37,17,26,131,36,183,542,2.478,1.412,313,678,3.166,2.731,5.897,799.631,788.506,"98,6",,,,,,
14,DI Yogyakarta,12,4,1,4,34,4,16,194,394,110,44,85,501,401,902,80.874,66.845,"82,7",,,,,,
15,Jawa Timur,41,26,20,38,125,41,302,629,2.909,1.998,410,703,3.807,3.435,7.242,825.784,663.526,"80,4",,,,,,
16,Banten,16,10,4,6,92,7,200,311,1.233,373,38,114,1.583,821,2.404,340.035,303.327,"89,2",,,,,,
17,Bali,13,12,9,8,29,12,84,202,843,393,82,139,1.060,766,1.826,110.092,88.941,"80,8",,,,,,
18,Nusa Tenggara Barat,5,6,2,4,15,12,61,97,234,156,3,23,320,298,618,142.147,89.490,"63,0",,,,,,
19,Nusa Tenggara Timur,4,2,1,6,10,6,22,58,255,136,23,33,315,241,556,174.129,39.071,"22,4",,,,,,
20,Kalimantan Barat,11,6,6,5,30,14,28,132,442,179,21,57,538,393,931,135.734,82.859,"61,0",,,,,,
21,Kalimantan Tengah,4,1,1,6,14,1,19,55,180,72,9,23,227,158,385,75.419,36.227,"48,0",,,,,,
22,Kalimantan Selatan,10,5,3,2,19,6,15,120,297,101,8,35,352,269,621,115.108,71.533,"62,1",,,,,,
23,Kalimantan Timur,6,7,2,6,34,11,39,126,587,363,42,89,710,602,1.312,123.206,107.618,"87,3",,,,,,
24,Kalimantan Utara,1,0,2,1,3,1,6,20,85,44,4,6,101,72,173,19.877,25.003,"125,8",,,,,,
25,Sulawesi Utara,2,3,2,1,18,5,13,139,324,97,5,47,364,292,656,68.186,30.481,"44,7",,,,,,
26,Sulawesi Tengah,4,2,2,1,22,2,20,102,213,66,3,18,264,191,455,83.492,47.195,"56,5",,,,,,
27,Sulawesi Selatan,5,7,3,6,75,9,29,372,738,155,14,63,864,612,1.476,246.163,104.796,"42,6",,,,,,
28,Sulawesi Tenggara,2,2,2,2,32,7,20,133,235,64,5,20,296,228,524,81.726,33.785,"41,3",,,,,,
29,Gorontalo,0,3,0,1,7,1,0,34,65,18,5,9,77,66,143,35.097,28.485,"81,2",,,,,,
30,Sulawesi Barat,0,0,0,0,0,2,3,3,17,8,0,5,20,18,38,41.095,17.645,"42,9",,,,,,
31,Maluku,3,6,6,3,15,8,54,52,169,139,8,24,255,232,487,62.311,47.433,"76,1",,,,,,
32,Maluku Utara,7,12,2,1,5,6,38,32,195,95,7,13,254,159,413,37.286,17.178,"46,1",,,,,,
33,Papua Barat,8,9,2,1,10,58,121,58,221,257,16,36,378,419,797,114.606,28.657,"25,0",,,,,,
34,Papua,32,34,13,21,74,269,487,267,939,938,61,71,1.606,1.600,3.206,272.855,120.061,"44,0",,,,,,
,,359,280,175,244,1.402,651,2.813,6.430,24.833,10.869,1.636,3.263,31.218,21.737,52.955,7.191.405,5.002.679,"69,6",,,,,,
Indonesia,,"1,2%",,"0,8%",,"3,9%",,"17,5%",,"67,4%",,"9,3%",,100%,,,,,,,,,,,
