,,,,,,46 47 38 40,,,,,,,,,,,,,,,33,,,,33,,
,,,,,,25 16,,,,23 14,,,25 15,,,,18,,,,19,,,,13,,
,,,Targ,et Renstra 20,17,: 84%,,,,,,,,,,,,,,,,,,,,,
,,,Targ,et Renstra 20,17 : 8,8%,,,,,,,,,,,,,,,,,,,,,
,,,,,"9 9 94 93 91,6 91,0 90,4 89,27 87,59 86,24 83,67 83,13 77,37 78",,,,,,,,,,,,,,,,,,,,,,
,,,"5, ,8 7",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tar,ge,t,,,,,,,,,,,,,,,,,,,,,
,,,,Renstr,a 2,017 :,,,,,,,,,,,,,,,,,,,,,
,,,,5,0%,,,,,,,,,,,,,,,,,,,,,,
,,,Targ,et,,,,,,,,,,,,,,,,,,,,,,,
,,,Renstra,20,17 :,,,,,,,,,,,,,,,,,,,,,,
,,,35%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"55 46,06 41,64 40,78 39,67 38,19 6,07 ,44",,,,,,,,,,,,,,,,,,,,,,
,,,,3 34,,,,,,,,,,,,,,,,,,,,,,,
Tahun,,,Jumlah Propinsi,,,,Jumlah,,Kasus,,,Kematian,,,CFR (%),,,,,,,,,,,,
,,,,,,,Kejadian,,,,,,,,,,,,,,,,,,,,
,2010,,,11,,,33,,,4.204,,,73,,,"1,74",,,,,,,,,,,
,2012,,,17,,,34,,,1.625,,,25,,,"1,54",,,,,,,,,,,
,2014,,,5,,,6,,,2.549,,,29,,,"1,14",,,,,,,,,,,
,2016,,,3,,,3,,,198,,,6,,,"3,03",,,,,,,,,,,
,,,,,45,,,,,,,,,,,,,,,,,,,,,,
,,,,,"100,00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,,,,,,
,7,,13,,6,,2,,,,,,,,5,,13,,,,,,,,,,
,,"13 13 12,5 12,4 9,05 ,82 3 7",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Target 2017,Renstra : 20%,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,
1,Aceh,334,337,339,340,341,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,570,570,571,571,571,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,262,264,264,264,269,,,,,,,,,,,,,,,,,,,,,
4,Riau,207,211,212,213,215,,,,,,,,,,,,,,,,,,,,,
5,Jambi,176,176,176,183,186,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,319,321,322,322,322,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,180,180,180,180,,,,,,,,,,,,,,,,,,,,,
8,Lampung,280,290,291,292,297,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,60,61,62,62,63,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,70,73,72,73,74,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,340,340,340,340,340,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.050,1.050,1.050,1.050,1.056,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,873,875,875,875,876,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,121,121,121,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,960,960,960,960,963,,,,,,,,,,,,,,,,,,,,,
16,Banten,230,231,233,233,233,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,120,120,120,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,158,158,158,158,160,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,362,370,371,371,372,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,237,238,238,238,241,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,194,195,195,195,196,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,228,228,230,230,230,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,222,174,174,175,179,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,-,48,49,49,49,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,183,187,187,188,189,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,183,184,189,189,193,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,440,446,448,448,451,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,264,269,269,269,274,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,91,93,93,93,93,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,92,94,94,94,94,,,,,,,,,,,,,,,,,,,,,
31,Maluku,190,197,199,199,199,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,125,127,127,128,129,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,143,149,151,151,155,,,,,,,,,,,,,,,,,,,,,
34,Papua,391,394,394,393,394,,,,,,,,,,,,,,,,,,,,,
Indonesia,,9.655,9.731,9.754,9.767,9.825,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Kecamatan,Rasio Puskesmas per Kecamatan,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,341,289,"1,18",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,571,444,"1,29",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,269,179,"1,50",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,215,166,"1,30",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,186,141,"1,32",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,322,236,"1,36",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,128,"1,41",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,297,228,"1,30",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,63,47,"1,34",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,74,70,"1,06",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,340,44,"7,73",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.056,627,"1,68",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,876,573,"1,53",,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,78,"1,55",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,963,666,"1,45",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,233,155,"1,50",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,57,"2,11",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,160,116,"1,38",,,,,,,,,,,,,,,,,,,,,,,
