No,Provinsi,Target Penemuan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Balita,,,,,,,
,,,Pneumonia,,Pneumonia Berat,,Jumlah,,Jumlah,%
,,,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
1,Aceh,21.767,521,1.550,53,33,574,1.583,2.157,"9,91"
2,Sumatera Utara,41.908,2.327,3.065,26,34,2.353,3.099,5.452,"13,01"
3,Sumatera Barat,20.565,2.783,7.519,158,116,2.941,7.635,10.576,"51,43"
4,Riau,16.445,1.653,4.432,96,96,1.749,4.528,6.277,"38,17"
5,Jambi,10.896,1.404,3.774,142,164,1.546,3.938,5.484,"50,33"
6,Sumatera Selatan,29.603,4.207,8.598,348,192,4.555,8.790,13.345,"45,08"
7,Bengkulu,3.865,187,293,8,5,195,298,493,"12,76"
8,Lampung,17.877,1.761,3.983,222,307,1.983,4.290,6.273,"35,09"
9,Kepulauan Bangka Belitung,8.319,1.131,4.391,31,38,1.162,4.429,5.591,"67,21"
10,Kepulauan Riau,8.319,487,1.291,16,32,503,1.323,1.826,"21,95"
11,DKI Jakarta,44.093,13.401,29.392,285,373,13.686,29.765,43.451,"98,54"
12,Jawa Barat,215.389,53.011,87.985,2.325,1.814,55.336,89.799,145.135,"67,38"
13,Jawa Tengah,99.124,17.213,38.705,1.721,2.356,18.934,41.061,59.995,"60,53"
14,DI Yogyakarta,15.712,1.130,2.884,84,116,1.214,3.000,4.214,"26,82"
15,Jawa Timur,176.532,29.550,61.357,909,1.159,30.459,62.516,92.975,"52,67"
16,Banten,49.826,10.607,20.634,249,161,10.856,20.795,31.651,"63,52"
17,Bali,8.359,1.745,3.398,151,76,1.896,3.474,5.370,"64,25"
18,Nusa Tenggara Barat,31.387,6.778,10.870,461,460,7.239,11.330,18.569,"59,16"
19,Nusa Tenggara Timur,22.260,850,2.377,180,483,1.030,2.860,3.890,"17,48"
20,Kalimantan Barat,10.108,590,1.277,87,72,677,1.349,2.026,"20,04"
21,Kalimantan Tengah,11.425,202,251,10,8,212,259,471,"4,12"
22,Kalimantan Selatan,22.269,2.842,7.521,172,152,3.014,7.673,10.687,"47,99"
23,Kalimantan Timur,20.132,2.393,4.241,74,91,2.467,4.332,6.799,"33,77"
24,Kalimantan Utara,1.914,582,902,54,20,636,922,1.558,"81,39"
25,Sulawesi Utara,6.285,108,207,4,2,112,209,321,"5,11"
26,Sulawesi Tengah,12.504,3.236,6.312,197,150,3.433,6.462,9.895,"79,14"
27,Sulawesi Selatan,31.759,1.719,3.942,165,294,1.884,4.236,6.120,"19,27"
28,Sulawesi Tenggara,9.673,955,1.563,14,45,969,1.608,2.577,"26,64"
29,Gorontalo,5.709,1.412,2.205,90,289,1.502,2.494,3.996,"70,00"
30,Sulawesi Barat,6.279,441,1.115,88,171,529,1.286,1.815,"28,91"
31,Maluku,5.729,397,538,90,40,487,578,1.065,"18,59"
32,Maluku Utara,2.662,393,561,11,6,404,567,971,"36,48"
33,Papua Barat,1.501,109,244,1,2,110,246,356,"23,71"
34,Papua,8.865,2,51,0,0,2,51,53,"0,60"
Indonesia,,999.057,166.127,327.428,8.522,9.357,174.649,336.785,511.434,"51,19"
