No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,Angka Penemuan Kasus Baru (NCDR/New Case Detection Rate) Per 100.000 Penduduk
,,,Pausi Basiler (PB)/ Kusta kering,,,Multi Basiler (MB)/ Kusta Basah,,,PB + MB,,,
,,,L,P,L+P,L,P,L+P,L,P,L+P,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.459.891,23,17,40,113,74,187,136,91,227,"4,16"
2,Sumatera Utara,14.703.532,5,11,16,60,32,92,65,43,108,"0,73"
3,Sumatera Barat,5.498.751,3,1,4,16,15,31,19,16,35,"0,64"
4,Riau,7.128.305,0,3,3,57,24,81,57,27,84,"1,18"
5,Jambi,3.677.894,6,2,8,31,22,53,37,24,61,"1,66"
6,Sumatera Selatan,8.567.923,10,12,22,103,55,158,113,67,180,"2,10"
7,Bengkulu,2.019.848,0,1,1,6,7,13,6,8,14,"0,69"
8,Lampung,8.521.201,8,5,13,74,34,108,82,39,121,"1,42"
9,Kepulauan Bangka Belitung,1.517.590,4,2,6,18,14,32,22,16,38,"2,50"
10,Kepulauan Riau,2.242.198,1,2,3,27,26,53,28,28,56,"2,50"
11,DKI Jakarta,10.644.986,40,26,66,192,65,257,232,91,323,"3,03"
12,Jawa Barat,49.935.858,66,59,125,811,468,1.279,877,527,1.404,"2,81"
13,Jawa Tengah,34.940.078,52,45,97,627,311,938,679,356,1.035,"2,96"
14,DI Yogyakarta,3.882.288,5,7,12,36,20,56,41,27,68,"1,75"
15,Jawa Timur,39.886.288,82,53,135,1.093,635,1.728,1.175,688,1.863,"4,67"
16,Banten,13.160.496,33,30,63,347,170,517,380,200,580,"4,41"
17,Bali,4.380.824,9,4,13,32,19,51,41,23,64,"1,46"
18,Nusa Tenggara Barat,5.125.622,23,7,30,142,76,218,165,83,248,"4,84"
19,Nusa Tenggara Timur,5.541.394,16,13,29,168,78,246,184,91,275,"4,96"
20,Kalimantan Barat,5.134.760,3,2,5,33,14,47,36,16,52,"1,01"
21,Kalimantan Tengah,2.769.156,1,0,1,30,12,42,31,12,43,"1,55"
22,Kalimantan Selatan,4.303.979,6,4,10,48,18,66,54,22,76,"1,77"
23,Kalimantan Timur,3.793.152,4,8,12,79,33,112,83,41,124,"3,27"
24,Kalimantan Utara,768.505,2,3,5,13,5,18,15,8,23,"2,99"
25,Sulawesi Utara,2.528.794,23,13,36,199,121,320,222,134,356,"14,08"
26,Sulawesi Tengah,3.096.976,6,6,12,124,65,189,130,71,201,"6,49"
27,Sulawesi Selatan,8.928.004,48,45,93,313,209,522,361,254,615,"6,89"
28,Sulawesi Tenggara,2.755.589,12,10,22,65,40,105,77,50,127,"4,61"
29,Gorontalo,1.219.576,1,1,2,65,39,104,66,40,106,"8,69"
30,Sulawesi Barat,1.405.012,15,5,20,72,46,118,87,51,138,"9,82"
31,Maluku,1.831.880,10,19,29,185,88,273,195,107,302,"16,49"
32,Maluku Utara,1.278.764,42,33,75,256,174,430,298,207,505,"39,49"
33,Papua Barat,981.822,114,113,227,335,137,472,449,250,699,"71,19"
34,Papua,3.435.430,103,129,232,482,308,790,585,437,1.022,"29,75"
Indonesia,,271.066.366,776,691,1.467,6.252,3.454,9.706,7.028,4.145,11.173,"4,12"
Proporsi Jenis Kelamin,,,"52,9","47,1",,"64,4","35,6",,"62,9","37,1",,
