No,Provinsi,Jumlah Target Penemuan,,Diare,,,,,,,,,
,,,,Dilayani,,,,Mendapat Oralit,,,,Mendapat Zinc,
,,,,Semua Umur,,Balita,,Semua Umur,,Balita,,Balita,
,,Semua Umur,Balita,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,145.031,95.750,74.415,"51,3",24.690,"25,8",74.415,"100,0",24.690,"100,0",23.094,"93,5"
2,Sumatera Utara,393.189,253.211,215.250,"54,7",66.594,"26,3",201.300,"93,5",65.789,"98,8",50.242,"75,4"
3,Sumatera Barat,146.912,90.562,88.290,"60,1",25.053,"27,7",88.244,"99,9",25.053,"100,0",25.053,"100,0"
4,Riau,188.237,125.425,83.358,"44,3",29.083,"23,2",77.202,"92,6",27.634,"95,0",26.161,"90,0"
5,Jambi,97.864,54.014,70.023,"71,6",25.337,"46,9",64.282,"91,8",24.024,"94,8",23.427,"92,5"
6,Sumatera Selatan,228.708,133.482,173.537,"75,9",63.585,"47,6",165.937,"95,6",61.614,"96,9",59.443,"93,5"
7,Bengkulu,53.780,30.656,26.966,"50,1",10.591,"34,5",26.586,"98,6",10.522,"99,3",10.590,"100,0"
8,Lampung,228.089,127.443,114.536,"50,2",36.656,"28,8",114.407,"99,9",36.647,"100,0",36.636,"99,9"
9,Kep. Bangka Belitung,40.197,22.649,17.669,"44,0",7.399,"32,7",17.505,"99,1",7.399,"100,0",7.399,"100,0"
10,Kepulauan Riau,59.121,36.290,29.895,"50,6",7.834,"21,6",29.895,"100,0",7.834,"100,0",7.834,"100,0"
11,DKI Jakarta,285.061,149.859,298.293,"104,6",98.478,"65,7",298.293,"100,0",98.478,"100,0",98.478,"100,0"
12,Jawa Barat,1.331.551,729.500,881.093,"66,2",347.078,"47,6",753.695,"85,5",330.595,"95,3",338.108,"97,4"
13,Jawa Tengah,937.392,442.854,559.994,"59,7",171.577,"38,7",413.686,"73,9",151.508,"88,3",163.416,"95,2"
14,DI Yogyakarta,103.759,46.834,69.902,"67,4",14.125,"30,2",57.987,"83,0",10.492,"74,3",12.657,"89,6"
15,Jawa Timur,1.071.863,475.057,678.248,"63,3",221.523,"46,6",641.618,"94,6",213.048,"96,2",210.421,"95,0"
16,Banten,349.038,204.216,250.516,"71,8",107.857,"52,8",234.799,"93,7",102.841,"95,3",101.893,"94,5"
17,Bali,117.097,54.364,62.505,"53,4",16.097,"29,6",51.579,"82,5",14.021,"87,1",13.751,"85,4"
18,Nusa Tenggara Barat,136.900,83.531,127.151,"92,9",57.264,"68,6",127.151,"100,0",57.264,"100,0",57.264,"100,0"
19,Nusa Tenggara Timur,147.317,108.687,27.597,"18,7",13.824,"12,7",26.376,"95,6",13.298,"96,2",13.014,"94,1"
20,Kalimantan Barat,136.866,82.869,59.061,"43,2",24.104,"29,1",57.289,"97,0",22.508,"93,4",24.104,"100,0"
21,Kalimantan Tengah,100.301,42.976,48.493,"48,3",17.668,"41,1",48.493,"100,0",17.668,"100,0",17.668,"100,0"
22,Kalimantan Selatan,114.591,66.820,66.532,"58,1",26.450,"39,6",55.971,"84,1",24.151,"91,3",25.977,"98,2"
23,Kalimantan Timur,100.478,58.977,68.256,"67,9",24.715,"41,9",55.713,"81,6",21.946,"88,8",21.514,"87,0"
24,Kalimantan Utara,20.041,12.759,16.287,"81,3",6.956,"54,5",11.287,"69,3",5.091,"73,2",5.409,"77,8"
25,Sulawesi Utara,67.688,34.373,19.435,"28,7",7.624,"22,2",17.032,"87,6",7.624,"100,0",6.987,"91,6"
26,Sulawesi Tengah,82.459,50.450,52.584,"63,8",19.925,"39,5",47.195,"89,8",17.805,"89,4",17.913,"89,9"
27,Sulawesi Selatan,238.983,139.047,145.456,"60,9",47.932,"34,5",102.478,"70,5",37.639,"78,5",40.355,"84,2"
28,Sulawesi Tenggara,73.028,50.611,27.212,"37,3",11.483,"22,7",23.882,"87,8",11.031,"96,1",10.728,"93,4"
29,Gorontalo,32.471,19.086,21.869,"67,3",9.727,"51,0",15.325,"70,1",7.267,"74,7",8.607,"88,5"
30,Sulawesi Barat,37.267,25.571,32.427,"87,0",10.727,"42,0",32.427,"100,0",10.727,"100,0",10.727,"100,0"
31,Maluku,48.677,34.877,15.332,"31,5",8.063,"23,1",15.332,"100,0",8.063,"100,0",8.063,"100,0"
32,Maluku Utara,33.906,23.473,19.861,"58,6",10.435,"44,5",17.883,"90,0",9.548,"91,5",9.914,"95,0"
33,Papua Barat,25.910,16.995,8.578,"33,1",4.407,"25,9",7.596,"88,6",4.093,"92,9",4.074,"92,4"
34,Papua,91.241,56.524,34.892,"38,2",17.083,"30,2",34.892,"100,0",17.083,"100,0",17.083,"100,0"
Indonesia,,7.265.013,3.979.790,4.485.513,"61,7",1.591.944,"40,0",4.007.752,"89,3",1.504.995,"94,5",1.508.004,"94,7"
Angka Kesakitan Diare Per 1.000 Penduduk,,270,843,,,,,,,,,,
