No,Provinsi,Perkiraan Diare di Fasilitas Kesehatan,Diare Ditangani,% Diare Ditangani
(1),(2),(3),(4),(5)
1,Aceh,135.054,25.341,"18,8"
2,Sumatera Utara,376.321,-,-
3,Sumatera Barat,140.300,36.322,"25,9"
4,Riau,171.299,7.717,5
5,Jambi,91.857,26.001,"28,3"
6,Sumatera Selatan,217.412,44.015,20
7,Bengkulu,50.622,12.017,"23,7"
8,Lampung,219.167,43.323,20
9,Kep. Bangka Belitung,37.066,12.149,"32,8"
10,Kepulauan Riau,53.271,5.351,10
11,DKI Jakarta,274.803,246.895,"89,8"
12,Jawa Barat,1.261.159,930.176,74
13,Jawa Tengah,911.901,95.635,"10,5"
14,DI Yogyakarta,99.338,8.442,8
15,Jawa Timur,1.048.885,338.806,"32,3"
16,Banten,322.790,164.079,51
17,Bali,112.126,32.651,"29,1"
18,Nusa Tenggara Barat,130.561,89.269,68
19,Nusa Tenggara Timur,138.243,66.341,"48,0"
20,Kalimantan Barat,129.319,-,-
21,Kalimantan Tengah,67.365,9.472,"14,1"
22,Kalimantan Selatan,107.725,9.986,9
23,Kalimantan Timur,92.518,51.776,"56,0"
24,Kalimantan Utara,17.331,-,-
25,Sulawesi Utara,65.127,6.337,"9,7"
26,Sulawesi Tengah,77.671,12.992,17
27,Sulawesi Selatan,230.048,172.650,"75,0"
28,Sulawesi Tenggara,67.487,30.304,45
29,Gorontalo,30.596,16.206,"53,0"
30,Sulawesi Barat,34.619,25.825,75
31,Maluku,45.536,7.764,"17,1"
32,Maluku Utara,31.382,-,-
33,Papua Barat,23.531,-,-
34,Papua,85.034,16.242,19
Indonesia,,6.897.463,2.544.084,"36,9"
