,,,,,,,70,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,65 59 55,,,,,,,,,,,,,,,,,
,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
,7,,13,,6,,2,,,,,,,,5,,13,,,,,,,,,,,
No,,,Tempat Rujukan,,,,Daerah Kerja,,,,,,,,,,,,,,Total,,,,,,,
,,,,,,,Madinah,,,Makkah,,,Airport,,,Arafah,,,Mina,,,,,,,,,
,1,,,Sektor/Pos Maktab,,,212,,,633,,,-,,,248,,,379,,,1.472,,,,,,
,3,,,Rumah Sakit Arab Saudi (RSAS),,,494,,,758,,,36,,,29,,,123,,,1.440,,,,,,
,TOTAL,,,,,,1.388,,,2.989,,,36,,,537,,,822,,,5.772,,,,,,
,,,,,,,,,"100,",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"100,",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"100,",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"100,",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"100,",,,,,,,,,,,,,,,,,,,
Targe 201,t Renstra 7: 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"67,57 0",,,,,,,,,,,,,,,,,,,
,,,,,,"39,58 ,71",,,,,,,,,,,,,,,,,,,,,,
,,,"1 6 6 ,",,,,,,,,,,,,,,,,,,,,,,,,,
,,Targ 20,et 1,Renstra 7: 21%,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Pemerintah,,,,,,,,,,,,Pemerintah Daerah,,,,,,,,,Swasta,,,Total RS,,
,,Kementerian Kesehatan,,,Kepolisian,,,Tentara Nasional Indonesia,,,Kementerian Lain dan BUMN,,,Pemerintah Provinsi,,,Pemerintah Kabupaten,,,Pemerintah Kota,,,Swasta,,,,,
,,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah,RS Umum,RS Khusus,Jumlah
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29)
1,Aceh,0,0,0,1,0,1,4,0,4,4,0,4,1,2,3,20,0,20,4,0,4,33,1,34,67,3,70
2,Sumatera Utara,1,0,1,2,0,2,7,0,7,14,2,16,1,4,5,26,0,26,7,0,7,136,20,156,194,26,220
3,Sumatera Barat,1,1,2,1,0,1,3,0,3,2,0,2,3,2,5,13,0,13,5,0,5,18,29,47,46,32,78
4,Riau,0,0,0,2,0,2,2,0,2,4,1,5,2,1,3,13,0,13,1,0,1,34,12,46,58,14,72
5,Jambi,0,0,0,1,0,1,1,0,1,0,0,0,1,1,2,11,0,11,1,0,1,15,4,19,30,5,35
6,Sumatera Selatan,1,1,2,1,0,1,3,0,3,4,0,4,1,4,5,17,0,17,4,0,4,21,12,33,52,17,69
7,Bengkulu,0,0,0,1,0,1,2,0,2,0,0,0,1,1,2,10,0,10,1,0,1,5,1,6,20,2,22
8,Lampung,0,0,0,1,0,1,1,0,1,0,0,0,2,1,3,12,0,12,2,0,2,31,21,52,49,22,71
9,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,0,7,1,0,1,8,1,9,17,2,19
10,Kepulauan Riau,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2,7,0,7,2,0,2,11,6,17,25,6,31
11,DKI Jakarta,3,7,10,2,0,2,7,3,10,9,1,10,28,1,29,0,0,0,0,0,0,84,50,134,133,62,195
12,Jawa Barat,1,4,5,5,0,5,9,0,9,5,1,6,3,2,5,32,0,32,10,2,12,218,62,280,283,71,354
13,Jawa Tengah,2,3,5,2,0,2,10,0,10,3,1,4,4,3,7,42,1,43,6,0,6,170,49,219,239,57,296
14,DI Yogyakarta,1,0,1,1,0,1,2,0,2,1,1,2,0,2,2,6,0,6,2,0,2,44,21,65,57,24,81
15,Jawa Timur,0,1,1,10,0,10,20,3,23,5,3,8,7,7,14,46,0,46,9,0,9,197,85,282,294,99,393
16,Banten,0,1,1,0,0,0,2,0,2,1,0,1,2,0,2,5,0,5,3,0,3,58,34,92,71,35,106
17,Bali,1,0,1,1,0,1,2,0,2,0,0,0,1,2,3,11,0,11,1,0,1,38,6,44,55,8,63
18,Nusa Tenggara Barat,0,0,0,1,0,1,1,0,1,1,0,1,2,1,3,10,0,10,1,0,1,12,3,15,28,4,32
19,Nusa Tenggara Timur,0,0,0,1,0,1,4,0,4,0,0,0,1,1,2,20,0,20,1,0,1,17,3,20,44,4,48
20,Kalimantan Barat,0,0,0,1,0,1,5,0,5,1,0,1,1,2,3,13,0,13,2,0,2,14,7,21,37,9,46
21,Kalimantan Tengah,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,14,1,15,1,0,1,2,0,2,20,1,21
22,Kalimantan Selatan,0,0,0,1,0,1,3,0,3,2,0,2,2,2,4,12,0,12,1,0,1,10,8,18,31,10,41
23,Kalimantan Timur,0,0,0,1,0,1,3,0,3,3,0,3,3,1,4,10,0,10,3,1,4,18,12,30,41,14,55
24,Kalimantan Utara,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,6,0,6,1,0,1,1,0,1,10,0,10
25,Sulawesi Utara,2,0,2,1,0,1,3,0,3,0,1,1,3,2,5,13,0,13,1,0,1,18,3,21,41,6,47
26,Sulawesi Tengah,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,17,0,17,1,0,1,6,7,13,28,7,35
27,Sulawesi Selatan,1,1,2,1,0,1,6,1,7,1,3,4,3,3,6,26,0,26,3,0,3,29,22,51,70,30,100
28,Sulawesi Tenggara,0,0,0,1,0,1,1,0,1,1,0,1,1,1,2,15,0,15,2,0,2,10,1,11,31,2,33
29,Gorontalo,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,6,0,6,2,0,2,3,0,3,12,1,13
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,7,0,0,0,3,1,4,11,1,12
31,Maluku,0,0,0,1,0,1,3,0,3,0,0,0,1,0,1,14,1,15,1,0,1,7,0,7,27,1,28
32,Maluku Utara,0,0,0,0,0,0,2,0,2,0,0,0,2,1,3,11,0,11,1,0,1,5,0,5,21,1,22
33,Papua Barat,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,8,0,8,1,0,1,2,0,2,16,0,16
34,Papua,0,0,0,1,0,1,5,0,5,0,0,0,2,1,3,24,1,25,0,0,0,8,0,8,40,2,42
Indonesia,,14,19,33,44,0,44,120,7,127,62,15,77,87,49,136,504,4,508,81,3,84,1.286,481,1.767,2.198,578,2.776
No,Pengelola,Tahun 2014,,Tahun 2015,,Tahun 2016,,Tahun 2017,,,,,,,,,,,,,,,,,,,,
,,RS,TT,RS,TT,RS,TT,RS,TT,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,,,,,,,,,,
1,Kementerian Kesehatan,14,10.673,14,10.568,14,10.494,14,10.748,,,,,,,,,,,,,,,,,,,
2,Kepolisian,42,4.392,42,4.475,42,4.320,44,4.618,,,,,,,,,,,,,,,,,,,
3,Tentara Nasional Indonesia,121,15.920,120,15.957,119,12.239,120,12.473,,,,,,,,,,,,,,,,,,,
4,Kementerian Lain dan BUMN,65,7.285,61,7.020,67,8.855,14,1.303,,,,,,,,,,,,,,,,,,,
5,Pemerintah Provinsi,52,17.030,68,18.904,75,19.452,87,22.067,,,,,,,,,,,,,,,,,,,
6,Pemerintah Kabupaten,456,64.138,466,66.901,477,70.347,504,74.665,,,,,,,,,,,,,,,,,,,
7,Pemerintah Kota,81,17.816,87,18.714,87,18.539,81,17.529,,,,,,,,,,,,,,,,,,,
8,Swasta,1.024,99.356,1.093,106.716,1.164,112.180,1.334,128.499,,,,,,,,,,,,,,,,,,,
Jumlah,,1.855,236.610,1.951,249.255,2.045,256.426,2.198,271.902,,,,,,,,,,,,,,,,,,,
No,Jenis Rumah Sakit,Tahun 2014,,Tahun 2015,,Tahun 2016,,Tahun 2017,,,,,,,,,,,,,,,,,,,,
,,RS,TT,RS,TT,RS,TT,RS,TT,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,,,,,,,,,,
1,RS Khusus Ibu dan Anak,357,15.169,356,15.027,370,15.914,390,16.771,,,,,,,,,,,,,,,,,,,
2,RS Khusus Jiwa,50,10.485,44,10.135,44,10.110,45,10.037,,,,,,,,,,,,,,,,,,,
3,RS Khusus Bedah,43,1.565,42,1.667,41,1.509,37,1.327,,,,,,,,,,,,,,,,,,,
4,RS Khusus Mata,19,647,20,647,24,680,28,729,,,,,,,,,,,,,,,,,,,
5,RS Khusus Gigi dan Mulut,21,49,22,49,23,53,25,75,,,,,,,,,,,,,,,,,,,
6,RS Khusus Paru,12,933,11,874,11,910,11,961,,,,,,,,,,,,,,,,,,,
7,RS Khusus THT,13,284,8,172,8,173,8,171,,,,,,,,,,,,,,,,,,,
8,RS Khusus Jantung dan Pembuluh Darah,6,509,6,514,6,534,6,530,,,,,,,,,,,,,,,,,,,
9,RS Khusus Kanker,2,385,2,310,2,405,3,434,,,,,,,,,,,,,,,,,,,
10,RS Khusus Infeksi,2,234,2,234,2,253,1,186,,,,,,,,,,,,,,,,,,,
11,RS Khusus Ginjal,1,78,1,21,2,21,2,46,,,,,,,,,,,,,,,,,,,
12,RS Khusus Otak,1,433,1,433,1,435,1,135,,,,,,,,,,,,,,,,,,,
13,RS Khusus Ketergantungan Obat,1,100,1,100,1,100,1,100,,,,,,,,,,,,,,,,,,,
14,RS Khusus Kusta,16,1.807,13,1.532,12,1.270,11,1.150,,,,,,,,,,,,,,,,,,,
15,RS Khusus Orthopedi,3,227,3,213,3,212,3,219,,,,,,,,,,,,,,,,,,,
16,RS Khusus Stroke,1,132,1,183,1,177,1,161,,,,,,,,,,,,,,,,,,,
17,RS Khusus lainnya,3,96,4,96,5,121,5,121,,,,,,,,,,,,,,,,,,,
Jumlah,,551,33.133,537,32.207,556,32.877,578,33.153,,,,,,,,,,,,,,,,,,,
No,Provinsi,Estimasi Jumlah Penduduk 2017,Kelas A,,,Kelas B,,,Kelas C,,,Kelas D dan Kelas D Pratama,,,Belum Ditetapkan Kelas,,,Total,,,,,,,,,,
,,,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,,TT,RS,TT,,,,,,,,,
,,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,Jumlah,%,,,Jumlah,Rasio,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),,,,,,,,
1,Aceh,5.189.466,3,"4,29",1 .037,10,"1 4,29",2 .355,31,44,3639,12,17,838,14,"2 0,00",1 .074,70,8.943,"1,72",,,,,,,,
2,Sumatera Utara,14.262.147,2,"0,91",1 .203,29,"1 3,18",6 .736,107,49,10876,49,22,2676,33,"1 5,00",1 .819,220,23.310,"1,63",,,,,,,,
3,Sumatera Barat,5.321.489,3,"3,85",1 .141,6,"7 ,69",1 .064,41,53,3907,15,19,733,13,"1 6,67",2 56,78,7.101,"1,33",,,,,,,,
4,Riau,6.657.911,1,"1,39",2 30,6,"8 ,33",1 .648,39,54,3409,25,35,1269,1,"1 ,39",2 5,72,6.581,"0,99",,,,,,,,
5,Jambi,3.515.017,-,-,-,4,"1 1,43",1 .132,22,63,2402,8,23,400,1,"2 ,86",7 8,35,4.012,"1,14",,,,,,,,
6,Sumatera Selatan,8.266.983,3,"4,35",1 .434,8,"1 1,59",1 .512,33,48,4073,20,29,1543,5,"7 ,25",1 52,69,8.714,"1,05",,,,,,,,
