No,Provinsi,Target Penemuan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Balita,,,,,,,
,,,Pneumonia,,Pneumonia Berat,,Jumlah,,Jumlah,%
,,,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,< 1 Tahun,1-4 Tahun,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
1,Aceh,17.325,415,1.287,65,87,480,1.374,1.854,"10,70"
2,Sumatera Utara,49.085,3.330,4.506,58,103,3.388,4.609,7.997,"16,29"
3,Sumatera Barat,18.671,3.571,9.807,200,290,3.771,10.097,13.868,"74,27"
4,Riau,21.132,3.238,7.864,80,68,3.318,7.932,11.250,"53,24"
5,Jambi,12.279,1.265,4.154,83,70,1.348,4.224,5.572,"45,38"
6,Sumatera Selatan,28.565,4.425,8.722,215,143,4.640,8.865,13.505,"47,28"
7,Bengkulu,6.625,205,313,9,3,214,316,530,"8,00"
8,Lampung,28.804,2.264,5.182,151,87,2.415,5.269,7.684,"26,68"
9,Kep. Bangka Belitung,4.786,1.735,5.298,78,125,1.813,5.423,7.236,"151,19"
10,Kepulauan Riau,4.786,380,682,123,29,503,711,1.214,"25,37"
11,DKI Jakarta,36.486,13.564,30.972,216,215,13.780,31.187,44.967,"123,25"
12,Jawa Barat,164.343,62.982,106.972,2.646,2.012,65.628,108.984,174.612,"106,25"
13,Jawa Tengah,97.912,29.290,26.961,1.770,1.629,31.060,28.590,59.650,"60,92"
14,DI Yogyakarta,12.912,975,2.104,46,35,1.021,2.139,3.160,"24,47"
15,Jawa Timur,138.662,26.637,64.181,1.052,1.409,27.689,65.590,93.279,"67,27"
16,Banten,42.013,10.566,19.655,253,175,10.819,19.830,30.649,"72,95"
17,Bali,14.094,2.229,4.120,181,158,2.410,4.278,6.688,"47,45"
18,Nusa Tenggara Barat,16.826,8.959,15.252,902,833,9.861,16.085,25.946,"154,21"
19,Nusa Tenggara Timur,16.518,2.352,1.478,318,28,2.670,1.506,4.176,"25,28"
20,Kalimantan Barat,16.752,729,1.682,87,44,816,1.726,2.542,"15,17"
21,Kalimantan Tengah,8.012,144,298,12,12,156,310,466,"5,82"
22,Kalimantan Selatan,13.751,3.718,9.071,233,240,3.951,9.311,13.262,"96,44"
23,Kalimantan Timur,10.929,2.270,4.569,150,164,2.420,4.733,7.153,"65,45"
24,Kalimantan Utara,2.348,744,1.849,23,16,767,1.865,2.632,"112,10"
25,Sulawesi Utara,8.487,202,331,9,17,211,348,559,"6,59"
26,Sulawesi Tengah,10.010,3.210,6.997,170,188,3.380,7.185,10.565,"105,55"
27,Sulawesi Selatan,29.847,1.575,3.689,129,135,1.704,3.824,5.528,"18,52"
28,Sulawesi Tenggara,8.970,1.088,1.893,48,77,1.136,1.970,3.106,"34,63"
29,Gorontalo,3.971,1.773,2.221,48,42,1.821,2.263,4.084,"102,84"
30,Sulawesi Barat,4.826,567,1.210,258,514,825,1.724,2.549,"52,82"
31,Maluku,5.438,177,204,73,80,250,284,534,"9,82"
32,Maluku Utara,4.087,209,379,6,19,215,398,613,"15,00"
33,Papua Barat,-,-,-,-,-,-,-,-,-
34,Papua,11.237,98,610,3,5,101,615,716,"6,37"
Indonesia,,870.491,194.886,354.513,9.695,9.052,204.581,363.565,568.146,"65,27"
