No,Provinsi,Jumlah Balita,Prevalensi Pneumonia Pada Balita (%),Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,
,,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%)
,,,,,< 1 Tahun,,1-4 Tahun,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,
,,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
1,Aceh,488.041,"4,46",21.767,448,372,1.326,1.015,19,14,45,26,1.838,1.427,3.265,"15,0",9,6,0,0,9,6,15,"0,46"
2,Sumatera Utara,1.401.611,"2,99",41.908,1.416,1.214,1.968,1.785,102,48,60,32,3.546,3.079,6.625,"15,8",5,4,0,0,5,4,9,"0,14"
3,Sumatera Barat,531.634,"3,91",20.787,1.521,1.207,3.807,3.274,98,64,118,117,5.544,4.662,10.206,"49,1",0,2,0,0,0,2,2,"0,02"
4,Riau,661.443,"2,67",17.661,591,447,1.718,1.366,33,38,42,37,2.384,1.888,4.272,"24,2",0,0,0,0,0,0,0,"0,00"
5,Jambi,360.052,"3,15",11.342,464,384,1.397,1.105,56,34,49,36,1.966,1.559,3.525,"31,1",0,1,1,0,1,1,2,"0,06"
6,Sumatera Selatan,874.326,"3,61",31.563,1.742,1.670,3.765,3.255,107,54,46,43,5.660,5.022,10.682,"33,8",0,0,2,1,2,1,3,"0,03"
7,Bengkulu,214.665,"2,00",4.293,115,88,159,164,2,3,9,10,285,265,550,"12,8",0,1,1,0,1,1,2,"0,36"
8,Lampung,833.292,"2,23",18.582,1.320,1.340,3.416,2.859,167,141,170,126,5.073,4.466,9.539,"51,3",1,3,1,0,2,3,5,"0,05"
9,Kep. Bangka Belitung,137.287,"6,05",8.306,546,413,1.671,1.440,6,5,29,15,2.252,1.873,4.125,"49,7",0,0,0,0,0,0,0,"0,00"
10,Kepulauan Riau,137.287,"3,98",5.464,686,230,587,462,8,4,16,19,1.297,715,2.012,"36,8",0,0,1,0,1,0,1,"0,05"
11,DKI Jakarta,1.045.731,"4,24",44.339,8.709,7.048,15.892,13.914,260,118,229,184,25.090,21.264,46.354,"104,5",1,0,0,0,1,0,1,"0,00"
12,Jawa Barat,4.806.324,"4,62",222.052,19.030,16.949,34.812,30.847,1.117,705,799,607,55.758,49.108,104.866,"47,2",10,5,4,5,14,10,24,"0,02"
13,Jawa Tengah,2.652.751,"3,61",95.764,7.503,6.352,18.634,16.120,442,315,496,401,27.075,23.188,50.263,"52,5",0,0,0,0,0,0,0,"0,00"
14,DI Yogyakarta,282.671,"4,32",12.211,1.455,908,2.392,1.857,56,58,97,89,4.000,2.912,6.912,"56,6",7,6,0,2,7,8,15,"0,22"
15,Jawa Timur,3.928.277,"4,45",174.808,11.544,11.286,33.559,31.380,642,238,389,323,46.134,43.227,89.361,"51,1",12,8,6,9,18,17,35,"0,04"
16,Banten,1.180.349,"4,12",48.630,6.072,5.755,11.934,10.832,202,139,102,115,18.310,16.841,35.151,"72,3",9,5,2,1,11,6,17,"0,05"
17,Bali,428.097,"2,05",8.776,1.061,639,1.963,1.366,18,16,17,16,3.059,2.037,5.096,"58,1",4,13,2,4,6,17,23,"0,45"
18,Nusa Tenggara Barat,504.214,"6,38",32.169,4.571,3.729,6.378,5.568,369,238,316,239,11.634,9.774,21.408,"66,5",7,1,0,1,7,2,9,"0,04"
19,Nusa Tenggara Timur,537.337,"4,28",22.998,1.288,984,1.491,1.261,298,295,461,542,3.538,3.082,6.620,"28,8",1,2,9,10,10,12,22,"0,33"
20,Kalimantan Barat,469.747,"2,12",9.959,381,242,555,465,24,11,13,18,973,736,1.709,"17,2",0,0,0,0,0,0,0,"0,00"
21,Kalimantan Tengah,269.018,"4,37",11.756,224,156,386,285,15,21,18,28,643,490,1.133,"9,6",2,1,0,0,2,1,3,"0,26"
22,Kalimantan Selatan,414.260,"5,53",22.909,2.105,1.574,4.635,3.645,94,62,74,87,6.908,5.368,12.276,"53,6",0,1,0,0,0,1,1,"0,01"
23,Kalimantan Timur,370.991,"2,86",10.610,1.038,598,1.925,1.478,34,16,23,28,3.020,2.120,5.140,"48,4",1,1,0,0,1,1,2,"0,04"
24,Kalimantan Utara,71.443,"2,86",2.043,303,180,498,360,19,8,10,9,830,557,1.387,"67,9",0,0,0,0,0,0,0,"0,00"
25,Sulawesi Utara,238.270,"2,68",6.386,144,87,266,242,6,1,2,4,418,334,752,"11,8",0,0,0,0,0,0,0,"0,00"
26,Sulawesi Tengah,240.918,"5,19",12.504,1.507,1.215,2.952,2.430,103,69,90,64,4.652,3.778,8.430,"67,4",5,2,2,1,7,3,10,"0,12"
27,Sulawesi Selatan,717.711,"3,79",27.201,981,652,1.769,1.379,86,63,86,92,2.922,2.186,5.108,"18,8",5,7,2,1,7,8,15,"0,29"
28,Sulawesi Tenggara,267.729,"3,84",10.281,830,597,1.196,952,30,8,17,18,2.073,1.575,3.648,"35,5",4,9,5,4,9,13,22,"0,60"
29,Gorontalo,119.222,"4,84",5.770,570,508,968,832,39,29,49,18,1.626,1.387,3.013,"52,2",1,0,0,0,1,0,1,"0,03"
30,Sulawesi Barat,131.921,"4,88",6.438,247,172,562,458,16,10,8,11,833,651,1.484,"23,1",1,0,3,2,4,2,6,"0,40"
31,Maluku,153.195,"3,74",5.729,249,136,379,296,18,5,10,12,656,449,1.105,"19,3",22,40,68,130,90,170,260,"23,53"
32,Maluku Utara,118.716,"2,29",2.719,163,158,281,207,9,6,7,3,460,374,834,"30,7",3,1,0,0,3,1,4,"0,48"
33,Papua Barat,35.059,"2,88",1.010,248,195,410,396,15,16,11,13,684,620,1.304,"129,1",13,9,10,10,23,19,42,"3,22"
34,Papua,321.497,"2,80",9.002,2,2,5,7,0,0,1,0,8,9,17,"0,2",0,0,0,0,0,0,0,"0,00"
Indonesia,,24.945.087,"3,55",885.551,79.074,67.487,163.656,143.302,4.510,2.852,3.909,3.382,251.149,217.023,468.172,"52,9",123,128,119,181,242,309,551,"0,12"
