Targe,t: 80%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"47,8% 50,0%",,,,,,,,,,,,,,,
,,,,,,,,,"43,0%",,,,,,,,,,,,,,,,,,
,5.847,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,
1,Aceh,340,341,348,359,359,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,571,571,581,601,608,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,264,269,275,275,276,,,,,,,,,,,,,,,,,,,,,
4,Riau,213,215,216,228,231,,,,,,,,,,,,,,,,,,,,,
5,Jambi,183,186,195,205,207,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,322,322,332,341,343,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,180,180,179,179,,,,,,,,,,,,,,,,,,,,,
8,Lampung,292,297,302,310,312,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,62,63,64,64,64,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,73,74,83,86,88,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,340,340,321,315,315,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.050,1.056,1.069,1.072,1.083,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,875,876,881,878,878,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,121,121,121,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,960,963,967,968,968,,,,,,,,,,,,,,,,,,,,,
16,Banten,233,233,242,243,245,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,120,120,120,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,158,160,166,169,174,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,371,372,381,402,410,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,238,241,244,246,246,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,195,196,200,203,205,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,230,230,233,235,236,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,175,179,183,186,187,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,49,49,56,55,55,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,188,189,193,195,195,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,189,193,202,206,207,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,448,451,458,459,461,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,269,274,284,290,292,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,94,94,94,95,96,,,,,,,,,,,,,,,,,,,,,
31,Maluku,199,199,208,209,215,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,128,129,134,147,147,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,151,155,159,159,161,,,,,,,,,,,,,,,,,,,,,
34,Papua,393,394,408,420,428,,,,,,,,,,,,,,,,,,,,,
Indonesia,,9.767,9.825,9.993,10.134,10.205,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas Rawat Inap,,,,,Jumlah Puskesmas Non Rawat Inap,,,,,,,,,,,,,,,,,,,,
,,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,
1,Aceh,143,143,148,179,181,197,198,200,180,178,,,,,,,,,,,,,,,,
2,Sumatera Utara,164,163,175,184,188,407,408,406,417,420,,,,,,,,,,,,,,,,
3,Sumatera Barat,91,91,91,108,111,173,178,184,167,165,,,,,,,,,,,,,,,,
4,Riau,79,80,81,102,102,134,135,135,126,129,,,,,,,,,,,,,,,,
5,Jambi,68,71,74,81,88,115,115,121,124,119,,,,,,,,,,,,,,,,
6,Sumatera Selatan,95,95,95,98,113,227,227,237,243,230,,,,,,,,,,,,,,,,
7,Bengkulu,46,46,47,52,52,134,134,133,127,127,,,,,,,,,,,,,,,,
8,Lampung,112,115,119,136,140,180,182,183,174,172,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,21,21,21,21,26,41,42,43,43,38,,,,,,,,,,,,,,,,
10,Kepulauan Riau,28,29,32,36,35,45,45,51,50,53,,,,,,,,,,,,,,,,
11,DKI Jakarta,30,30,28,28,6,310,310,293,287,309,,,,,,,,,,,,,,,,
12,Jawa Barat,182,185,186,291,299,868,871,883,781,784,,,,,,,,,,,,,,,,
13,Jawa Tengah,320,322,361,368,371,555,554,520,510,507,,,,,,,,,,,,,,,,
14,DI Yogyakarta,43,43,49,49,49,78,78,72,72,72,,,,,,,,,,,,,,,,
15,Jawa Timur,519,520,534,553,575,441,443,433,415,393,,,,,,,,,,,,,,,,
16,Banten,56,56,56,82,81,177,177,186,161,164,,,,,,,,,,,,,,,,
