No,Provinsi,Jumlah Balita,Prevalensi Pneumonia Pada Balita (%),Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,
,,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%)
,,,,,< 1 Tahun,,1-4 Tahun,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,
,,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
1,Aceh,532.353,"4,46",23.743,147,141,540,421,23,7,20,19,730,588,1.318,"5,55",4,2,6,21,10,23,33,"2,50"
2,Sumatera Utara,1.479.131,"2,99",44.226,519,510,1.144,1.054,38,9,16,55,1.717,1.628,3.345,"7,56",5,4,9,11,14,15,29,"0,87"
3,Sumatera Barat,499.694,"3,91",19.538,522,466,1.358,1.067,57,31,52,42,1.989,1.606,3.595,"18,40",0,1,1,7,1,8,9,"0,25"
4,Riau,676.218,"2,67",18.055,285,268,552,399,6,13,47,25,890,705,1.595,"8,83",1,2,3,0,4,2,6,"0,38"
5,Jambi,364.183,"3,15",11.472,160,158,451,332,24,9,18,11,653,510,1.163,"10,14",0,0,0,0,0,0,0,"0,00"
6,Sumatera Selatan,874.326,"3,61",31.563,598,529,1.483,1.215,52,39,41,42,2.174,1.825,3.999,"12,67",0,0,0,0,0,0,0,"0,00"
7,Bengkulu,197.709,"2,00",3.954,41,49,112,89,10,5,12,12,175,155,330,"8,35",0,0,0,2,0,2,2,"1,03"
8,Lampung,769.682,"2,23",17.164,961,925,2.374,2.085,68,38,286,235,3.689,3.283,6.972,"40,62",1,0,1,0,2,0,2,"0,05"
9,Kep. Bangka Belitung,140.236,"6,05",8.484,207,201,762,681,1,3,19,16,989,901,1.890,"22,28",0,1,1,1,1,2,3,"0,29"
10,Kepulauan Riau,140.236,"3,98",5.581,191,161,431,284,5,4,10,6,637,455,1.092,"19,56",0,0,0,0,0,0,0,"0,00"
11,DKI Jakarta,1.110.093,"4,62",51.286,2.346,1.978,4.583,3.895,34,23,21,28,6.984,5.924,12.908,"25,17",0,0,0,0,0,0,0,"0,00"
12,Jawa Barat,4.835.292,"4,24",205.016,10.803,10.258,23.229,20.676,578,443,659,539,35.269,31.916,67.185,"32,77",9,9,18,5,27,14,41,"0,13"
13,Jawa Tengah,2.652.751,"3,61",95.764,4.554,4.094,14.060,11.893,376,306,352,343,19.342,16.636,35.978,"37,57",18,20,38,14,56,34,90,"0,58"
14,DI Yogyakarta,293.068,"4,32",12.661,248,126,440,318,11,3,16,16,715,463,1.178,"9,30",3,5,8,2,11,7,18,"3,67"
15,Jawa Timur,3.330.329,"4,45",148.200,8.694,8.772,28.387,26.467,438,325,544,444,38.063,36.008,74.071,"49,98",4,6,10,5,14,11,25,"0,08"
16,Banten,1.236.601,"4,12",50.948,3.851,3.411,8.061,7.617,171,131,153,135,12.236,11.294,23.530,"46,18",2,1,3,2,5,3,8,"0,07"
17,Bali,440.876,"2,05",9.038,436,320,884,635,113,61,63,72,1.496,1.088,2.584,"28,59",4,5,9,5,13,10,23,"3,20"
18,Nusa Tenggara Barat,522.598,"6,38",33.342,2.347,1.817,3.720,3.178,214,174,265,198,6.546,5.367,11.913,"35,73",4,3,7,0,11,3,14,"0,43"
19,Nusa Tenggara Timur,579.310,"4,28",24.794,386,335,468,390,34,28,27,18,915,771,1.686,"6,80",8,4,12,2,20,6,26,"5,86"
20,Kalimantan Barat,469.747,"2,12",9.959,134,123,253,167,11,10,18,19,416,319,735,"7,38",8,5,13,12,21,17,38,"13,44"
21,Kalimantan Tengah,265.371,"4,37",11.597,149,139,291,218,74,62,79,50,593,469,1.062,"9,16",1,3,4,1,5,4,9,"2,29"
22,Kalimantan Selatan,415.761,"5,53",22.992,811,622,1.594,1.233,84,47,50,52,2.539,1.954,4.493,"19,54",2,0,2,2,4,2,6,"0,37"
23,Kalimantan Timur,393.378,"2,86",11.251,314,211,554,419,7,5,2,7,877,642,1.519,"13,50",0,1,1,0,1,1,2,"0,38"
24,Kalimantan Utara,75.361,"2,86",2.155,177,62,255,176,4,2,6,3,442,243,685,"31,78",0,0,0,0,0,0,0,"0,00"
25,Sulawesi Utara,238.270,"2,68",6.386,53,26,94,102,0,2,3,1,150,131,281,"4,40",2,0,2,0,4,0,4,"4,27"
26,Sulawesi Tengah,296.292,"5,19",15.378,855,703,1.660,1.328,51,16,33,22,2.599,2.069,4.668,"30,36",0,0,0,5,0,5,5,"0,34"
27,Sulawesi Selatan,884.870,"3,79",33.537,477,417,798,620,56,15,27,33,1.358,1.085,2.443,"7,28",2,1,3,4,5,5,10,"1,39"
28,Sulawesi Tenggara,271.952,"3,84",10.443,218,162,344,276,17,5,11,15,590,458,1.048,"10,04",0,0,0,0,0,0,0,"0,00"
29,Gorontalo,118.781,"4,84",5.749,285,210,425,353,24,15,47,65,781,643,1.424,"24,77",4,3,7,0,11,3,14,"3,05"
30,Sulawesi Barat,141.096,"4,88",6.885,73,51,156,98,9,1,3,5,241,155,396,"5,75",1,0,1,2,2,2,4,"3,33"
31,Maluku,172.816,"3,74",6.463,120,95,179,108,13,16,14,9,326,228,554,"8,57",0,2,2,3,2,5,7,"5,05"
32,Maluku Utara,123.806,"2,29",2.835,84,50,117,75,3,1,0,0,204,126,330,"11,64",1,2,3,0,4,2,6,"7,09"
33,Papua Barat,97.542,"2,88",2.809,68,66,107,88,2,1,4,2,181,157,338,"12,03",3,2,5,0,8,2,10,"12,13"
34,Papua,318.861,"2,80",8.928,409,341,451,495,72,60,67,58,999,954,1.953,"21,87",0,0,0,0,0,0,0,"0,00"
Indonesia,,24.958.589,"3,55",886.030,41.523,37.797,100.317,88.452,2.680,1.910,2.985,2.597,147.505,130.756,278.261,"31,41",87,82,169,106,256,188,444,"0,16"
