No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,Angka Penemuan Kasus Baru (NCDR/New Case Detection Rate) Per 100.000 Penduduk
,,,Pausi Basiler (PB)/ Kusta kering,,,Multi Basiler (MB)/ Kusta Basah,,,PB + MB,,,
,,,L,P,L+P,L,P,L+P,L,P,L+P,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.371.532,37,40,77,180,97,277,217,137,354,"6,59"
2,Sumatera Utara,14.562.549,4,9,13,115,64,179,119,73,192,"1,32"
3,Sumatera Barat,5.441.197,12,8,20,45,26,71,57,34,91,"1,67"
4,Riau,6.971.745,7,3,10,62,35,97,69,38,107,"1,53"
5,Jambi,3.624.579,8,6,14,57,23,80,65,29,94,"2,59"
6,Sumatera Selatan,8.470.683,13,12,25,135,75,210,148,87,235,"2,77"
7,Bengkulu,1.991.838,1,1,2,11,7,18,12,8,20,"1,00"
8,Lampung,8.447.737,5,6,11,92,42,134,97,48,145,"1,72"
9,Kepulauan Bangka Belitung,1.488.792,7,4,11,24,11,35,31,15,46,"3,09"
10,Kepulauan Riau,2.189.653,5,2,7,21,20,41,26,22,48,"2,19"
11,DKI Jakarta,10.557.810,68,30,98,319,153,472,387,183,570,"5,40"
12,Jawa Barat,49.316.712,108,86,194,1.253,653,1.906,1.361,739,2.100,"4,26"
13,Jawa Tengah,34.718.204,77,65,142,767,427,1.194,844,492,1.336,"3,85"
14,DI Yogyakarta,3.842.932,3,6,9,35,16,51,38,22,60,"1,56"
15,Jawa Timur,39.698.631,114,121,235,1.676,1.029,2.705,1.790,1.150,2.940,"7,41"
16,Banten,12.927.316,50,62,112,527,288,815,577,350,927,"7,17"
17,Bali,4.336.923,3,10,13,74,33,107,77,43,120,"2,77"
18,Nusa Tenggara Barat,5.070.385,19,23,42,179,100,279,198,123,321,"6,33"
19,Nusa Tenggara Timur,5.456.203,18,14,32,230,127,357,248,141,389,"7,13"
20,Kalimantan Barat,5.069.127,4,4,8,51,21,72,55,25,80,"1,58"
21,Kalimantan Tengah,2.714.859,7,3,10,42,33,75,49,36,85,"3,13"
22,Kalimantan Selatan,4.244.096,14,9,23,84,44,128,98,53,151,"3,56"
23,Kalimantan Timur,3.721.389,13,14,27,117,51,168,130,65,195,"5,24"
24,Kalimantan Utara,742.245,1,2,3,24,12,36,25,14,39,"5,25"
25,Sulawesi Utara,2.506.981,52,54,106,305,179,484,357,233,590,"23,53"
26,Sulawesi Tengah,3.054.023,25,21,46,169,80,249,194,101,295,"9,66"
27,Sulawesi Selatan,8.851.240,79,90,169,576,407,983,655,497,1.152,"13,02"
28,Sulawesi Tenggara,2.704.737,7,13,20,125,69,194,132,82,214,"7,91"
29,Gorontalo,1.202.631,4,7,11,124,83,207,128,90,218,"18,13"
30,Sulawesi Barat,1.380.256,24,14,38,101,43,144,125,57,182,"13,19"
31,Maluku,1.802.870,24,20,44,260,127,387,284,147,431,"23,91"
32,Maluku Utara,1.255.771,89,107,196,405,308,713,494,415,909,"72,39"
33,Papua Barat,959.617,220,311,531,502,237,739,722,548,1.270,"132,34"
34,Papua,3.379.302,180,189,369,752,412,1.164,932,601,1.533,"45,36"
Indonesia,,268.074.565,1.302,1.366,2.668,9.439,5.332,14.771,10.741,6.698,17.439,"6,51"
Proporsi Jenis Kelamin,,,"48,8","51,2",,"63,9","36,1",,"61,6","38,4",,
